Название заказа|ID товара|ID аттр|Цена|Количество|Скидка|Налог
Документ из FoxPro_263|526|1|347.10|16|0|0
Документ из FoxPro_263|530|1|112.45|60|0|0
Документ из FoxPro_263|534|1|280.80|27|0|0
Документ из FoxPro_263|1090|1|80.61|87|0|0
Документ из FoxPro_263|1105|1|494.00|10|0|0
Документ из FoxPro_263|1135|1|572.00|16|0|0
Документ из FoxPro_263|664|1|327.60|4|0|0
Документ из FoxPro_263|665|1|348.40|20|0|0
Документ из FoxPro_263|670|1|299.00|2|0|0
Документ из FoxPro_263|671|1|299.00|2|0|0
Документ из FoxPro_263|696|1|348.40|9|0|0
Документ из FoxPro_263|1217|1|240.50|36|0|0
Документ из FoxPro_263|225|1|97.60|40|0|0
Документ из FoxPro_263|227|1|200.77|40|0|0
Документ из FoxPro_263|707|1|421.85|15|0|0
Документ из FoxPro_263|165|1|347.45|15|0|0
Документ из FoxPro_263|251|1|475.72|9|0|0
Документ из FoxPro_263|422|1|2034.50|1|0|0
Документ из FoxPro_263|429|1|917.80|4|0|0
Документ из FoxPro_263|720|1|233.35|36|0|0
Документ из FoxPro_263|725|1|218.40|24|0|0
Документ из FoxPro_263|737|1|194.35|48|0|0
Документ из FoxPro_263|803|1|909.35|9|0|0
Документ из FoxPro_263|806|1|1039.35|8|0|0
Документ из FoxPro_263|828|1|6669.00|1|0|0
Документ из FoxPro_263|844|1|790.40|8|0|0
Документ из FoxPro_263|1263|1|421.20|24|0|0
Документ из FoxPro_263|1264|1|421.20|24|0|0
Документ из FoxPro_263|1272|1|649.35|16|0|0
Документ из FoxPro_263|1283|1|806.00|11|0|0
Документ из FoxPro_263|1288|1|1690.00|2|0|0
Документ из FoxPro_263|1338|1|650.00|12|0|0
Документ из FoxPro_263|1341|1|975.00|8|0|0
Документ из FoxPro_263|1376|1|4030.00|1|0|0
Документ из FoxPro_263|1406|1|1293.50|8|0|0
Документ из FoxPro_263|1407|1|1293.50|3|0|0
Документ из FoxPro_263|1407|1|1293.50|5|0|0
Документ из FoxPro_263|1595|1|237.90|48|0|0
Документ из FoxPro_263|1596|1|331.50|24|0|0
Документ из FoxPro_263|1599|1|559.00|16|0|0
Документ из FoxPro_263|1600|1|507.00|12|0|0
Документ из FoxPro_263|172|1|646.92|12|0|0
Документ из FoxPro_263|173|1|646.92|12|0|0
Документ из FoxPro_263|1579|1|14.85|400|0|0
Документ из FoxPro_263|1580|1|13.37|400|0|0
Документ из FoxPro_263|1587|1|44.55|120|0|0
Документ из FoxPro_263|1565|1|47.34|10|0|0
Документ из FoxPro_263|1566|1|54.00|94|0|0
Документ из FoxPro_263|1568|1|30.86|116|0|0
