Артикул|Кол-во|Склад ID
РТ303|72|1
РТ305|72|1
РФ101|18|1
РФ103|93|1
С059|3|1
С062|2|1
С066|6|1
СРС005|2|1
ТР104|595|1
ТР107|726|1
ТР108|752|1
ТР109|580|1
ТР110|359|1
ТР111|51|1
ТР112|32|1
ТР114|616|1
ТР115|294|1
ТР151|556|1
ТР152|454|1
ТР154|186|1
ТР155|1223|1
ТР156|3911|1
ТР157|4046|1
ТР158|1375|1
ТР159|100|1
ТР160|95|1
ТР161|493|1
ТР162|136|1
ТР163|173|1
ТР164|897|1
ТР705|98|1
ТР707|130|1
ТР708|140|1
ТР709|138|1
ТС620|96|1
ТС641|72|1
ТС642|80|1
ТС643|74|1
ТС652|31|1
ТС653|24|1
ТС661|16|1
ТС710|108|1
ТС720|86|1
ТС730|50|1
ТС741|60|1
ТС742|57|1
ТС752|17|1
ТС831|56|1
ТС832|8|1
ТС861|8|1
ФДЖ|21|1
ФДО|14|1
ФДС|22|1
ФОЖ|29|1
ФОК|20|1
ФОС|25|1
брил40бел|41|1
овал31бел|50|1
цил40бел|112|1
