id;Код;остаток;Склад
1100;РС123;82;3
1102;РС126;45;3
1103;РС128;251;3
1104;РС130;53;3
1105;РС131;29;3
1106;РС132;91;3
1107;РС133;183;3
1109;РС137;57;3
1110;РС138;156;3
1111;РС140;120;3
1114;РС142;297;3
1115;РС144;62;3
1117;РС148;118;3
1118;РС149;124;3
1124;РС170;15;3
1125;РС171;12;3
1126;РС172;23;3
1127;РС174;7;3
2043;РС175;5;3
2044;РС176;8;3
2045;РС177;8;3
1132;РС220;188;3
1133;РС230;0;3
1134;РС231;13;3
1135;РС240;28;3
1929;РС241;24;3
1137;РС245;21;3
1138;РС250;0;3
1139;РС251;64;3
2046;РС252;12;3
2028;РС260;6;3
2047;РС261;37;3
1144;РС345;57;3
2048;РС346;9;3
1146;РС347;45;3
2029;РС348;67;3
2049;РС349;193;3
1179;РС455;15;3
1180;РС456;21;3
2050;РС457;23;3
1930;РС458;77;3
1183;РС459;33;3
1185;РС461;0;3
1186;РС462;14;3
1187;РС463;3;3
1188;РС470;48;3
1189;РС471;17;3
2051;РС472;11;3
1191;РС473;0;3
1192;РС474;49;3
1193;РС475;6;3
1194;РС476;9;3
1196;РС478;56;3
1197;РС479;0;3
1198;РС480;0;3
1199;РС481;3;3
1202;РС484;6;3
1931;РС490;0;3
1207;РС492;0;3
1208;РС494;4;3
1209;РС500;18;3
1210;РС501;22;3
1211;РС502;15;3
1212;РС503;34;3
1216;РС507;24;3
1217;РС508;29;3
1220;РС511;19;3
1222;РС513;21;3
1223;РС514;9;3
1224;РС515;19;3
1225;РС516;52;3
1226;РС517;2;3
1227;РС518;3;3
1228;РС519;26;3
1229;РС520;119;3
1230;РС521;59;3
1231;РС522;34;3
1234;РС530;100;3
1235;РС531;44;3
1236;РС532;50;3
1237;РС533;133;3
1238;РС534;101;3
1239;РС535;104;3
1240;РС540;83;3
1241;РС541;77;3
1242;РС542;84;3
1243;РС550;63;3
1244;РС551;123;3
1245;РС552;78;3
1246;РС553;4;3
1247;РС554;0;3
1248;РС565;9;3
1249;РС566;7;3
1932;РС570;26;3
1933;РС572;25;3
2052;РС595;6;3
1966;РС599;48;3
1934;РС600;116;3
1935;РС602;0;3
1936;РС603;18;3
1262;РС604;12;3
1263;РС605;47;3
1264;РС606;26;3
1937;РС607;33;3
1266;РС608;5;3
1268;РС610;4;3
1269;РС611;0;3
1271;РС613;35;3
1272;РС614;39;3
1273;РС615;7;3
1275;РС616;0;3
1278;РС620;14;3
1279;РС621;5;3
1280;РС622;3;3
1281;РС623;9;3
1283;РС625;9;3
1285;РС627;4;3
2053;РС628;6;3
1287;РС629;19;3
1288;РС640;2;3
2054;РС642;1;3
1916;РС656;0;3
1295;РС657;7;3
1297;РС659;9;3
2055;РС660;6;3
2056;РС661;3;3
2057;РС662;3;3
2058;РС663;1;3
2059;РС664;0;3
2060;РС665;1;3
2061;РС667;1;3
1967;РС668;0;3
1971;РС679;33;3
1307;РС680;21;3
1309;РС682;0;3
1311;РС684;22;3
1313;РС686;52;3
1938;РС690;0;3
1939;РС691;0;3
1318;РС692;25;3
1940;РС693;0;3
1968;РС701;7;3
1324;РС702;93;3
1325;РС703;0;3
1326;РС704;12;3
1327;РС705;16;3
1328;РС706;72;3
1329;РС707;32;3
1337;РС715;6;3
1338;РС716;2;3
1339;РС717;17;3
1341;РС719;15;3
1342;РС720;31;3
1344;РС722;8;3
1345;РС723;2;3
1347;РС725;0;3
1348;РС726;5;3
1349;РС727;8;3
1350;РС728;6;3
2062;РС729;7;3
1941;РС730;0;3
2063;РС735;0;3
1358;РС741;5;3
1359;РС742;8;3
1360;РС743;8;3
2064;РС758;3;3
2065;РС760;1;3
2066;РС766;1;3
2067;РС768;1;3
2068;РС769;0;3
2078;РС780;0;3
1376;РС781;0;3
1390;РС801;2;3
1394;РС805;26;3
1395;РС806;34;3
1396;РС807;0;3
1397;РС808;11;3
1398;РС809;0;3
1399;РС810;0;3
1400;РС811;49;3
1969;РС817;0;3
1406;РС818;3;3
1407;РС819;25;3
1409;РС821;9;3
1410;РС822;5;3
1412;РС824;0;3
1413;РС825;4;3
1970;РС826;0;3
1416;РС828;0;3
1419;РС831;0;3
1424;РС836;0;3
1425;РС837;0;3
2080;РС838;0;3
1428;РС840;3;3
2069;РС841;1;3
2070;РС842;2;3
2071;РС843;2;3
2072;РС844;8;3
1449;РС871;0;3
1468;РС890;0;3
596;Р4066;0;3
598;Р4070;1;3
603;Р4110;0;3
606;Р4114;8;3
607;Р4115;0;3
610;Р4120;1;3
613;Р4206;1;3
614;Р4210;0;3
615;Р4213;2;3
1847;Р4320;46;3
621;Р4350;27;3
1848;Р4512;27;3
1926;Р4515;24;3
643;Р4810;35;3
2032;Р4811;9;3
649;Р4830;0;3
650;Р4840;0;3
1981;Р5080;87;3
1850;Р5300;39;3
1851;Р5310;5;3
1852;Р5320;82;3
664;Р5510;3;3
665;Р5512;2;3
667;Р5516;23;3
670;Р5540;2;3
671;Р5541;0;3
672;Р5542;1;3
1853;Р5543;19;3
683;Р5602;12;3
684;Р5604;5;3
685;Р5606;29;3
693;Р5720;39;3
696;Р5726;2;3
701;Р5800;1;3
