id;Код;остаток
1868;СВ240;0
1738;СК475;3
1739;СК537;0
2081;СРС 007;0
1559;СРС005;0
1563;ТР104;43
1565;ТР107;0
1566;ТР108;0
1567;ТР109;106
1568;ТР110;0
1569;ТР111;124
1570;ТР112;42
1572;ТР114;81
1573;ТР115;2
1574;ТР151;5
1575;ТР152;0
1576;ТР153;0
1577;ТР154;4
1578;ТР155;0
1579;ТР156;0
1580;ТР157;18
1581;ТР158;32
1583;ТР160;0
1584;ТР161;138
1585;ТР162;378
1586;ТР163;96
1587;ТР164;0
1964;ТР165;209
2027;ТР166;0
1590;ТР705;3
1592;ТР707;39
1593;ТР708;20
1594;ТР709;40
1942;ТС580;17
1691;ТС581;9
1595;ТС610;35
1596;ТС620;12
1597;ТС630;10
1598;ТС641;2
1599;ТС642;2
1600;ТС643;0
1972;ТС651;0
1602;ТС652;2
1603;ТС653;22
1604;ТС661;0
1605;ТС662;1
1606;ТС671;0
1607;ТС681;2
1608;ТС682;3
1610;ТС710;75
1611;ТС720;6
1616;ТС730;15
1617;ТС741;15
1618;ТС742;22
1620;ТС752;9
1621;ТС761;1
2073;ТС771;1
2074;ТС772;0
1628;ТС831;2
1629;ТС832;9
1630;ТС841;0
1631;ТС842;0
1632;ТС851;0
1634;ТС861;0
1946;ТС862;0
1638;ФДЖ;0
1641;ФДО;0
1642;ФДС;7
1643;ФОЖ;18
1645;ФОК;1
1646;ФОС;15
