Product ID|Active (0/1)|Name *|Categories (x,y,z...)|Price|Налог ID|Оптовая цена|Распродажа (0/1)|Величина скидки|Процент скидки|Скидка с (yyyy-mm-dd)|Скидка по (yyyy-mm-dd)|Артикул|Артикул поставщика|Поставщик|Производитель|R1|R2|R3|Штрих EAN13|Штрих EAN13|Штрих EAN13|Штрих UPC|Экол. налог|Ширина|Высота|Глубина|Вес|Кол-во|Мин. кол-во|Видимость|Доп расходы доставка|Ед. изм|Ед. изм Пост|К-нт передачи|Текст фасовки|Страна происх.|Сертификат|Сертификат полный|ГТД|Ед. изм 2|Цена|Короткое описание|Описание|Метки (x,y,z...)|Meta title|Meta keywords|Meta description|URL rewritten|Текст в наличии|Текст на заказ|Доступен (0/1)|Дата доступен|Дата создания|Отображать цену (0/1)|URL фото (x,y,z...)|Удалить фото (0/1)|Характеристика (Name:Value:Position)|Доступен только онлайн (0/1)|Состояние|Настраиваемый (0 = No, 1 = Yes)|Загружаемые файлы (0 = No, 1 = Yes)|Текстовые поля (0 = No, 1 = Yes)|Действия когда нет в наличии|ID магазина|Расширенное управление (0 = No, 1 = Yes)|Количество (0 = Страница, 1 = Склад)|Склад ID
36|1|Связка-16|3^31^39|752.00|0|413.60||||||Р1040|Р1040|1|1|60|1|24||||||7.000000|0.800000|5.000000|1.000000||1|||1|1|1|за 1 уп.из 60 шт.|1|ЩШ01.А.00025        |ЩШ01.А.00025 0464042 ООО "Испытательный центр "ПИРОТЕСТ" ООО "Русский фейерверк" RR-01/17 от 17.01.2017 18.07.2017-17.07.2020                                                                                                                             |10130080/180517/0011277  |шт.|12.53|Хлопает 16 раз|Хлопает 16 раз<br><BR>||||||||1|||1|http://ogonek.beget.tech/images/р1040.jpg|1|||new||||2|1^4^5^6|1|1|
37|1|Лимонка (с чекой)|3^32|326.00|0|179.30||||||Р1050|Р1050|1|1|12|1|60||||||14.000000|3.500000|12.500000|0.150000||1|||1|1|1|за 1 уп.из 12 шт.|1|СЗ25.А.00038        |СЗ25.А.00038 0155678 ООО "Северо-Западная НПЛ" ООО "Русский фейерверк" RR-01/16 от 02.02.2016 11.10.2016-10.10.2019                                                                                                                                       |10130080/180517/0011277  |шт.|27.17|хлопок петарды очень громкий и внушительный!|хлопок петарды очень громкий и внушительный!<br><BR><iframe width="420" height="315" src="https://www.youtube.com/embed/9GlOOBgJ2Mo?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/р1050.jpg|1|||new||||2|1^4^5^6|1|1|
38|1|Бомба с чекой|3^32|380.00|0|209.00||||||Р1060|Р1060|1|1|6|1|50||||||0.000000|0.000000|0.000000|0.320000||1|||1|1|1|за 1 уп.из 6 шт.|1|ЩШ01.А.00006        |ЩШ01.А.00006 0464022 ООО "ИЦ "ПИРОТЕСТ" ООО "Русский фейерверк" RP-01/16 от 02.02.2016 14.11.2016-13.11.2019                                                                                                                                              |10130080/180517/0011277  |шт.|63.33||<br><BR>||||||||1|||1|http://ogonek.beget.tech/images/p1060.jpg|1|||new||||2|1^4^5^6|1|1|
39|1|Корсар 8 мини (O15 мм х 52 мм)|3^39|173.00|0|95.15||||||Р1080|Р1080|1|1|12|1|160||||||0.000000|0.000000|0.000000|0.125000||1|||1|1|1|за 1 уп.из 12 шт.|1|ЩШ01.А.0029         |ЩШ01.А.0029 0464047 ООО "ИЦ "ПИРОТЕСТ" ООО "Русский фейерверк" RR-01/17 от 17.01.2017 12.09.2017-11.09.2020                                                                                                                                               |10130080/180517/0011277  |шт.|14.42||<br><BR>||||||||1|||1|http://ogonek.beget.tech/images/p1080.jpg|1|||new||||2|1^4^5^6|1|1|
41|1|Мега Корсар|3^39|211.00|0|116.05||||||Р1084|Р1084|1|1|3|1|100||||||20.000000|3.300000|3.300000|0.250000||1|||1|1|1|за 1 уп.из 3 шт.|1|ЩШ01.А.0029         |ЩШ01.А.0029 0464047 ООО "ИЦ "ПИРОТЕСТ" ООО "Русский фейерверк" RR-01/17 от 17.01.2017 12.09.2017-11.09.2020                                                                                                                                               |10130080/180517/0011277  |шт.|70.33|мощнейший взрыв, от которого закладывает уши!|мощнейший взрыв, от которого закладывает уши!<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/gQFXRgGgNVA?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/р1084.jpg|1|||new||||2|1^4^5^6|1|1|
43|1|Корсар-1|3^40|432.00|0|237.60||||||Р1106|Р1106|1|1|60|12|20||||||3.800000|0.600000|0.600000|0.850000||1|||2|2|1|за 1 бл.из 12 уп.по 60 шт.|1|ЩШ01.А.00025        |ЩШ01.А.00025 0464042 ООО "Испытательный центр "ПИРОТЕСТ" ООО "Русский фейерверк" RR-01/17 от 17.01.2017 18.07.2017-17.07.2020                                                                                                                             |10130080/180517/0011277  |уп.|36.00|Хлопок|Хлопок<br><BR>||||||||1|||1|http://ogonek.beget.tech/images/р1106.jpg|1|||new||||2|1^4^5^6|1|1|
44|1|Корсар 2|3^40|462.00|0|254.10||||||Р1202|Р1202|1|1|20|15|25||||||27.500000|6.000000|8.500000|0.840000||1|||2|2|1|за 1 бл.из 15 уп.по 20 шт.|1|ЩШ01.А.00026        |ЩШ01.А.00026 0464043 ООО "Испытательный центр "ПИРОТЕСТ" ООО "Русский фейерверк" RR-01/17 от 17.01.2017 11.08.2017-10.08.2020                                                                                                                             |10130080/180517/0011277  |уп.|30.80|взрываясь, дает громкий, акцентированный хлопок|взрываясь, дает громкий, акцентированный хлопок<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/5XSXOYj3ToY?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/р1202.jpg|1|||new||||2|1^4^5^6|1|1|
51|1|Корсар 6 (O20 мм х 78 мм)|3^40|124.00|0|68.20||||||Р1600|Р1600|1|1|6|1|100||||||0.000000|0.000000|0.000000|0.170000||1|||1|1|1|за 1 уп.из 6 шт.|1|ЩШ01.А.0029         |ЩШ01.А.0029 0464047 ООО "ИЦ "ПИРОТЕСТ" ООО "Русский фейерверк" RR-01/17 от 17.01.2017 12.09.2017-11.09.2020                                                                                                                                               |10130080/180517/0011277  |шт.|20.67||<br><BR>||||||||1|||1|http://ogonek.beget.tech/images/p1600.jpg|1|||new||||2|1^4^5^6|1|1|
54|1|Команда корсара Моргана 1|3^33^40|420.00|0|231.00||||||РС018|РС018|1|3|12|20|30||||||0.000000|0.000000|0.000000|0.350540||1|||2|2|1|за 1 бл.из 20 уп.по 12 шт.|1|ЦЦ09.А.00665        |ЦЦ09.А.00665 0159032 ООО "Пуск" АО "ФНПЦ "НИИПХ" RP-02/17 от 08.02.2017 17.07.2017-16.07.2020                                                                                                                                                             |10130080/230617/0014265  |уп.|21.00||<br><BR>||||||||1|||1|http://ogonek.beget.tech/images/pc018.jpg|1|||new||||2|1^4^5^6|1|1|
64|1|Огненная юла (волчок)|3^39|1008.00|0|554.40||||||РС107|РС107|1|3|6|12|24||||||12.000000|1.000000|10.000000|0.268750||1|||2|2|1|за 1 бл.из 12 уп.по 6 шт.|1|ЦЦ09.А.00577        |ЦЦ09.А.00577 0157827 ООО "Пуск" АО "ФНПЦ "НИИПХ" RP-02/16 от 22.01.2016 22.11.2016-21.11.2019                                                                                                                                                             |10130080/230617/0014265  |уп.|84.00|Крутится с разбрасыванием искр.|Крутится с разбрасыванием искр.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/kreRFcGUcfw?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/рс107.jpg|1|||new||||2|1^4^5^6|1|1|
