Артикул №;Имя;Категории (x,y,z...);Цена без налогов или Цена c налогами;Макс скидка;ID налога;Оптовая цена;Артикул поставщика №;Поставщик;Производитель;r1;r2;r3;Основная категория;Минимальное количество;Единица измерения;Единица измерения поставщика;Текст фасовки;Единица измерения для цены товара;Цена;Краткое описание;Описание;Метки (x,y,z...);Мета-заголовок;Мета ключевые слова;Мета описание;URL изображений (x,y,z...);Действия когда нет в наличии;ID / Название магазина ;Расширенное Управление Запасами ;В зависимости от наличия ;Склад 
D4450;Факел пиротехнический красный (с чекой);6,17;1000,00;;0;450,00;D4450;1;16;0;4;18;6;;уп.;;за 1 уп.;;100;Цветной дым: красный;;;Факел пиротехнический красный (с чекой);;Цветной дым: красный;/img/Divo/D4450.jpg;2;1,14,16;1;1;
D4452;Факел пиротехнический зеленый (с чекой);6,17;1000,00;;0;450,00;D4452;1;16;0;4;18;6;;уп.;;за 1 уп.;;150;Цветной дым: зеленый;;;Факел пиротехнический зеленый (с чекой);;Цветной дым: зеленый;/img/Divo/D4452.jpg;2;1,14,16;1;1;
