id;йНД;НЯРЮРНЙ;яЙКЮД
569;п2440;2;3
576;п2600;2;3
581;п3010;84;3
582;п3020;4;3
583;п3100;32;3
584;п3110;127;3
585;п3200;169;3
587;п3520;61;3
588;п3530;2;3
596;п4066;0;3
598;п4070;1;3
603;п4110;0;3
606;п4114;8;3
607;п4115;0;3
610;п4120;1;3
613;п4206;1;3
614;п4210;0;3
615;п4213;2;3
1847;п4320;46;3
621;п4350;27;3
1848;п4512;27;3
1926;п4515;24;3
643;п4810;35;3
2032;п4811;9;3
649;п4830;0;3
650;п4840;0;3
1981;п5080;87;3
1850;п5300;39;3
1851;п5310;5;3
1852;п5320;82;3
664;п5510;3;3
665;п5512;2;3
667;п5516;23;3
670;п5540;2;3
671;п5541;0;3
672;п5542;1;3
1853;п5543;19;3
683;п5602;12;3
684;п5604;5;3
685;п5606;29;3
693;п5720;39;3
696;п5726;2;3
701;п5800;1;3
1943;п5900;0;3
704;п5950;11;3
707;п6210;23;3
709;п6260;12;3
2033;п6272;0;3
714;п6290;0;3
715;п6720;2;3
1982;п6750;9;3
717;п6780;17;3
719;п6820;8;3
720;п7010;16;3
1983;п7012;3;3
1984;п7020;0;3
723;п7040;56;3
1854;п7042;0;3
725;п7045;0;3
729;п7064;23;3
730;п7065;23;3
732;п7071;12;3
733;п7072;33;3
734;п7130;0;3
1944;п7132;0;3
737;п7150;0;3
739;п7160;0;3
740;п7165;0;3
741;п7200;0;3
742;п7205;5;3
743;п7210;0;3
744;п7212;1;3
746;п7215;0;3
747;п7220;0;3
1985;п7230;0;3
751;п7300;0;3
752;п7302;4;3
753;п7311;24;3
754;п7312;14;3
1986;п7314;1;3
1987;п7318;0;3
1855;п7319;0;3
759;п7321;0;3
761;п7324;6;3
762;п7325;0;3
763;п7326;0;3
764;п7328;3;3
766;п7333;1;3
768;п7340;0;3
771;п7342;3;3
773;п7350;14;3
2034;п7352;0;3
776;п7360;0;3
1785;п7362;0;3
1988;п7364;0;3
1786;п7380;0;3
1989;п7452;0;3
782;п7453;0;3
783;п7456;54;3
784;п7460;0;3
785;п7462;4;3
786;п7463;7;3
791;п7468;7;3
792;п7471;0;3
794;п7473;16;3
796;п7482;36;3
1856;п7485;0;3
798;п7486;0;3
800;п7491;2;3
1857;п7492;4;3
803;п7494;6;3
806;п7500;0;3
807;п7502;4;3
808;п7511;0;3
1795;п7512;0;3
810;п7513;0;3
1858;п7514;0;3
2035;п7517;7;3
1990;п7524;0;3
1790;п7525;4;3
1991;п7526;0;3
818;п7528;0;3
1992;п7530;0;3
1793;п7533;0;3
1791;п7534;0;3
1792;п7536;2;3
2036;п7537;0;3
2037;п7538;0;3
1794;п7541;0;3
1796;п7543;0;3
828;п7545;0;3
1993;п7555;1;3
834;п7556;1;3
837;п7563;4;3
838;п7564;1;3
844;п7591;16;3
845;п7592;0;3
846;п7593;0;3
851;п7612;3;3
855;п7690;0;3
857;п7700;0;3
858;п7750;2;3
862;п7808;0;3
864;п7812;0;3
869;п7822;0;3
876;п7832;0;3
2011;п7842;0;3
880;п7844;0;3
1797;п7846;0;3
1994;п7863;0;3
1995;п7884;0;3
1859;п7904;0;3
1798;п7921;0;3
908;п7926;0;3
909;п7951;0;3
913;п7956;0;3
1799;п7957;2;3
1996;п7958;0;3
1800;п7961;0;3
1801;п7990;0;3
1802;п8030;0;3
1815;п8160;0;3
1997;п8170;0;3
1870;п8261;0;3
935;п8272;6;3
1816;п8275;0;3
2014;п8276;0;3
1817;п8288;0;3
1818;п8301;1;3
1927;п8312;4;3
947;п8315;1;3
1819;п8320;2;3
1820;п8323;1;3
2015;п8360;1;3
1821;п8370;2;3
1822;п8380;1;3
963;п8452;1;3
1803;п8460;0;3
965;п8463;0;3
967;п8470;0;3
1804;п8478;0;3
1805;п8490;0;3
2012;п8585;4;3
1806;п8595;0;3
986;п8605;0;3
1807;п8630;0;3
2013;п8631;5;3
1808;п8637;0;3
1813;п8641;0;3
1809;п8650;3;3
1003;п8700;0;3
1810;п8715;0;3
1811;п8764;0;3
1812;п8770;1;3
1814;п8790;0;3
1018;п9020;232;3
2038;п9030;30;3
2039;п9031;108;3
2040;п9032;127;3
1022;п9033;141;3
2041;п9034;106;3
1025;п9060;51;3
2030;п9061;55;3
1027;п9062;67;3
1028;п9063;73;3
1029;п9064;68;3
1030;п9100;3;3
1787;пй048;0;3
1788;пй050;0;3
1865;пй053;0;3
1866;пй073;0;3
1869;пй080;2;3
1765;пй8029;0;3
1766;пй8030;1;3
1767;пй8102;0;3
1768;пй8103;0;3
1769;пй8104;0;3
1770;пй8105;0;3
1771;пй8201;0;3
1772;пй8301;0;3
1773;пй8302;0;3
1774;пй8303;0;3
1775;пй8305;0;3
1776;пй8401;0;3
1777;пй8402;0;3
1778;пй8407;0;3
1779;пй8408;0;3
1083;пя018;6;3
1084;пя020;175;3
1085;пя021;75;3
1928;пя023;22;3
1088;пя024;103;3
1089;пя025;23;3
1090;пя026;19;3
1091;пя027;63;3
1092;пя106;278;3
1093;пя107;61;3
1094;пя108;343;3
1095;пя109;41;3
1096;пя110;51;3
1097;пя111;22;3
1098;пя121;39;3
1099;пя122;55;3
1100;пя123;82;3
1102;пя126;45;3
1103;пя128;251;3
1104;пя130;53;3
1105;пя131;29;3
1106;пя132;91;3
1107;пя133;183;3
1109;пя137;57;3
1110;пя138;156;3
1111;пя140;120;3
1114;пя142;297;3
1115;пя144;62;3
1117;пя148;118;3
1118;пя149;124;3
1124;пя170;15;3
1125;пя171;12;3
1126;пя172;23;3
1127;пя174;7;3
2043;пя175;5;3
2044;пя176;8;3
2045;пя177;8;3
1132;пя220;188;3
1133;пя230;0;3
1134;пя231;13;3
1135;пя240;28;3
1929;пя241;24;3
1137;пя245;21;3
1138;пя250;0;3
1139;пя251;64;3
2046;пя252;12;3
2028;пя260;6;3
2047;пя261;37;3
1144;пя345;57;3
2048;пя346;9;3
1146;пя347;45;3
2029;пя348;67;3
2049;пя349;193;3
1179;пя455;15;3
1180;пя456;21;3
2050;пя457;23;3
1930;пя458;77;3
1183;пя459;33;3
1185;пя461;0;3
1186;пя462;14;3
1187;пя463;3;3
1188;пя470;48;3
1189;пя471;17;3
2051;пя472;11;3
1191;пя473;0;3
1192;пя474;49;3
1193;пя475;6;3
1194;пя476;9;3
1196;пя478;56;3
1197;пя479;0;3
1198;пя480;0;3
1199;пя481;3;3
1202;пя484;6;3
1931;пя490;0;3
1207;пя492;0;3
1208;пя494;4;3
1209;пя500;18;3
1210;пя501;22;3
1211;пя502;15;3
1212;пя503;34;3
1216;пя507;24;3
1217;пя508;29;3
1220;пя511;19;3
1222;пя513;21;3
1223;пя514;9;3
1224;пя515;19;3
1225;пя516;52;3
1226;пя517;2;3
1227;пя518;3;3
1228;пя519;26;3
1229;пя520;119;3
1230;пя521;59;3
1231;пя522;34;3
1234;пя530;100;3
1235;пя531;44;3
1236;пя532;50;3
1237;пя533;133;3
1238;пя534;101;3
1239;пя535;104;3
1240;пя540;83;3
1241;пя541;77;3
1242;пя542;84;3
1243;пя550;63;3
1244;пя551;123;3
1245;пя552;78;3
1246;пя553;4;3
1247;пя554;0;3
1248;пя565;9;3
1249;пя566;7;3
1932;пя570;26;3
1933;пя572;25;3
2052;пя595;6;3
1966;пя599;48;3
1934;пя600;116;3
1935;пя602;0;3
1936;пя603;18;3
1262;пя604;12;3
1263;пя605;47;3
1264;пя606;26;3
1937;пя607;33;3
1266;пя608;5;3
1268;пя610;4;3
1269;пя611;0;3
1271;пя613;35;3
1272;пя614;39;3
1273;пя615;7;3
1275;пя616;0;3
1278;пя620;14;3
1279;пя621;5;3
1280;пя622;3;3
1281;пя623;9;3
1283;пя625;9;3
1285;пя627;4;3
2053;пя628;6;3
1287;пя629;19;3
1288;пя640;2;3
2054;пя642;1;3
1916;пя656;0;3
1295;пя657;7;3
1297;пя659;9;3
2055;пя660;6;3
2056;пя661;3;3
2057;пя662;3;3
2058;пя663;1;3
2059;пя664;0;3
2060;пя665;1;3
2061;пя667;1;3
1967;пя668;0;3
1971;пя679;33;3
1307;пя680;21;3
1309;пя682;0;3
1311;пя684;22;3
1313;пя686;52;3
1938;пя690;0;3
1939;пя691;0;3
1318;пя692;25;3
1940;пя693;0;3
1968;пя701;7;3
1324;пя702;93;3
1325;пя703;0;3
1326;пя704;12;3
1327;пя705;16;3
1328;пя706;72;3
1329;пя707;32;3
1337;пя715;6;3
1338;пя716;2;3
1339;пя717;17;3
1341;пя719;15;3
1342;пя720;31;3
1344;пя722;8;3
1345;пя723;2;3
1347;пя725;0;3
1348;пя726;5;3
1349;пя727;8;3
1350;пя728;6;3
2062;пя729;7;3
1941;пя730;0;3
2063;пя735;0;3
1358;пя741;5;3
1359;пя742;8;3
1360;пя743;8;3
2064;пя758;3;3
2065;пя760;1;3
2066;пя766;1;3
2067;пя768;1;3
2068;пя769;0;3
2078;пя780;0;3
1376;пя781;0;3
1390;пя801;2;3
1394;пя805;26;3
1395;пя806;34;3
1396;пя807;0;3
1397;пя808;11;3
1398;пя809;0;3
1399;пя810;0;3
1400;пя811;49;3
1969;пя817;0;3
1406;пя818;3;3
1407;пя819;25;3
1409;пя821;9;3
1410;пя822;5;3
1412;пя824;0;3
1413;пя825;4;3
1970;пя826;0;3
1416;пя828;0;3
1419;пя831;0;3
1424;пя836;0;3
1425;пя837;0;3
2080;пя838;0;3
1428;пя840;3;3
2069;пя841;1;3
2070;пя842;2;3
2071;пя843;2;3
2072;пя844;8;3
1449;пя871;0;3
1468;пя890;0;3
1476;пя900;0;3
1477;пя901;0;3
1488;пя912;0;3
1894;пя914;1;3
1492;пя916;0;3
1517;пр210;0;3
1518;пр211;0;3
1521;пр303;13;3
1523;пр305;0;3
1526;пт103;0;3
1698;я039;0;3
1537;я059;0;3
1540;я066;0;3
1699;я068;0;3
1872;я204;0;3
1740;яю470;0;3
1741;яю625;0;3
1867;яб222;2;3
1789;яб230;0;3
1871;яб231;0;3
1868;яб240;0;3
1738;яй475;3;3
1739;яй537;0;3
2081;япя 007;0;3
1559;япя005;0;3
1563;рп104;43;3
1565;рп107;0;3
1566;рп108;0;3
1567;рп109;106;3
1568;рп110;0;3
1569;рп111;124;3
1570;рп112;42;3
1572;рп114;81;3
1573;рп115;2;3
1574;рп151;5;3
1575;рп152;0;3
1576;рп153;0;3
1577;рп154;4;3
1578;рп155;0;3
1579;рп156;0;3
1580;рп157;18;3
1581;рп158;32;3
1583;рп160;0;3
1584;рп161;138;3
1585;рп162;378;3
1586;рп163;96;3
1587;рп164;0;3
1964;рп165;209;3
2027;рп166;0;3
1590;рп705;3;3
1592;рп707;39;3
1593;рп708;20;3
1594;рп709;40;3
1942;ря580;17;3
1691;ря581;9;3
1595;ря610;35;3
1596;ря620;12;3
1597;ря630;10;3
1598;ря641;2;3
1599;ря642;2;3
1600;ря643;0;3
1972;ря651;0;3
1602;ря652;2;3
1603;ря653;22;3
1604;ря661;0;3
1605;ря662;1;3
1606;ря671;0;3
1607;ря681;2;3
1608;ря682;3;3
1610;ря710;75;3
1611;ря720;6;3
1616;ря730;15;3
1617;ря741;15;3
1618;ря742;22;3
1620;ря752;9;3
1621;ря761;1;3
2073;ря771;1;3
2074;ря772;0;3
1628;ря831;2;3
1629;ря832;9;3
1630;ря841;0;3
1631;ря842;0;3
1632;ря851;0;3
1634;ря861;0;3
1946;ря862;0;3
1638;тдф;0;3
1641;тдн;0;3
1642;тдя;7;3
1643;тнф;18;3
1645;тнй;1;3
1646;тня;15;3
