Название заказа|ID товара|ID аттр|Цена|Количество|Скидка|Налог
Приход из FoxPro_296|530||112.45|160|0|0
Приход из FoxPro_296|1977||449.80|72|0|0
Приход из FoxPro_296|545||738.40|36|0|0
Приход из FoxPro_296|546||738.40|36|0|0
Приход из FoxPro_296|547||738.40|36|0|0
Приход из FoxPro_296|548||738.40|36|0|0
Приход из FoxPro_296|1978||142.35|100|0|0
Приход из FoxPro_296|1979||142.35|100|0|0
Приход из FoxPro_296|1980||142.35|100|0|0
Приход из FoxPro_296|585||55.25|250|0|0
Приход из FoxPro_296|693||417.30|60|0|0
Приход из FoxPro_296|707||421.85|30|0|0
Приход из FoxPro_296|709||919.75|12|0|0
Приход из FoxPro_296|719||2049.45|8|0|0
Приход из FoxPro_296|1983||582.40|32|0|0
Приход из FoxPro_296|800||779.35|24|0|0
Приход из FoxPro_296|1993||1039.35|16|0|0
Приход из FoxPro_296|1994||4244.50|6|0|0
Приход из FoxPro_296|531||80.60|200|0|0
Приход из FoxPro_296|532||136.50|200|0|0
Приход из FoxPro_296|533||393.25|72|0|0
Приход из FoxPro_296|534||280.80|160|0|0
Приход из FoxPro_296|535||300.30|75|0|0
Приход из FoxPro_296|536||154.70|150|0|0
Приход из FoxPro_296|538||452.40|48|0|0
Приход из FoxPro_296|542||80.60|300|0|0
Приход из FoxPro_296|555||382.20|125|0|0
Приход из FoxPro_296|559||144.95|360|0|0
Приход из FoxPro_296|576||621.40|24|0|0
Приход из FoxPro_296|581||382.20|30|0|0
Приход из FoxPro_296|598||566.80|18|0|0
Приход из FoxPro_296|610||921.05|12|0|0
Приход из FoxPro_296|1847||279.50|48|0|0
Приход из FoxPro_296|621||276.25|24|0|0
Приход из FoxPro_296|1848||549.90|12|0|0
Приход из FoxPro_296|1926||547.95|16|0|0
Приход из FoxPro_296|1981||265.20|108|0|0
Приход из FoxPro_296|1850||215.80|108|0|0
Приход из FoxPro_296|683||518.70|48|0|0
Приход из FoxPro_296|684||518.70|48|0|0
Приход из FoxPro_296|685||518.70|48|0|0
Приход из FoxPro_296|696||348.40|60|0|0
Приход из FoxPro_296|1943||781.30|16|0|0
Приход из FoxPro_296|704||519.35|40|0|0
Приход из FoxPro_296|715||192.40|80|0|0
Приход из FoxPro_296|1982||341.25|48|0|0
Приход из FoxPro_296|720||233.35|72|0|0
Приход из FoxPro_296|1984||357.50|48|0|0
Приход из FoxPro_296|1854||202.15|24|0|0
Приход из FoxPro_296|732||389.35|48|0|0
Приход из FoxPro_296|1944||161.85|24|0|0
Приход из FoxPro_296|740||211.25|48|0|0
Приход из FoxPro_296|742||304.85|72|0|0
Приход из FoxPro_296|744||253.50|36|0|0
Приход из FoxPro_296|1985||519.35|24|0|0
Приход из FoxPro_296|751||488.80|36|0|0
Приход из FoxPro_296|753||621.40|24|0|0
Приход из FoxPro_296|1986||711.75|24|0|0
Приход из FoxPro_296|1987||681.20|16|0|0
Приход из FoxPro_296|1855||669.50|12|0|0
Приход из FoxPro_296|763||2210.00|8|0|0
Приход из FoxPro_296|773||519.35|36|0|0
Приход из FoxPro_296|1785||3919.50|2|0|0
Приход из FoxPro_296|1988||3598.40|4|0|0
Приход из FoxPro_296|1989||1547.00|12|0|0
Приход из FoxPro_296|783||484.90|48|0|0
Приход из FoxPro_296|1856||774.80|24|0|0
Приход из FoxPro_296|798||769.60|24|0|0
Приход из FoxPro_296|808||1299.35|16|0|0
Приход из FoxPro_296|810||1635.40|8|0|0
Приход из FoxPro_296|1858||1384.50|8|0|0
Приход из FoxPro_296|1990||2236.00|8|0|0
Приход из FoxPro_296|1790||2327.00|8|0|0
Приход из FoxPro_296|1991||3022.50|4|0|0
Приход из FoxPro_296|1992||2392.00|4|0|0
Приход из FoxPro_296|1793||3640.00|4|0|0
Приход из FoxPro_296|837||974.35|16|0|0
Приход из FoxPro_296|844||790.40|8|0|0
Приход из FoxPro_296|857||1547.00|8|0|0
Приход из FoxPro_296|1995||2460.25|8|0|0
Приход из FoxPro_296|909||3094.00|4|0|0
Приход из FoxPro_296|1996||2694.25|6|0|0
Приход из FoxPro_296|1800||4264.00|4|0|0
Приход из FoxPro_296|1997||4030.00|2|0|0
Приход из FoxPro_296|1814||3965.00|4|0|0
Приход из FoxPro_296|399||598.00|36|0|0
Приход из FoxPro_296|1973||2017.60|8|0|0
Приход из FoxPro_296|1974||1404.00|4|0|0
Приход из FoxPro_296|422||2115.75|3|0|0
Приход из FoxPro_296|1975||2132.00|6|0|0
Приход из FoxPro_296|1976||2664.35|4|0|0
