Название заказа|ID товара|ID аттр|Цена|Количество|Скидка|Налог
Приход из FoxPro_290|1098||280.80|20|0|0
Приход из FoxPro_290|1102||105.95|96|0|0
Приход из FoxPro_290|1144||176.15|72|0|0
Приход из FoxPro_290|1093||650.52|24|0|0
Приход из FoxPro_290|1106||219.05|40|0|0
Приход из FoxPro_290|1107||130.00|100|0|0
Приход из FoxPro_290|1930||483.60|48|0|0
Приход из FoxPro_290|1188||353.60|24|0|0
Приход из FoxPro_290|1931||587.60|12|0|0
Приход из FoxPro_290|1220||343.20|18|0|0
Приход из FoxPro_290|1134||464.75|60|0|0
Приход из FoxPro_290|1929||713.05|32|0|0
Приход из FoxPro_290|1932||740.35|18|0|0
Приход из FoxPro_290|1933||755.95|54|0|0
Приход из FoxPro_290|1934||198.25|288|0|0
Приход из FoxPro_290|1935||243.10|288|0|0
Приход из FoxPro_290|1936||269.75|216|0|0
Приход из FoxPro_290|1937||356.85|96|0|0
Приход из FoxPro_290|1280||767.00|24|0|0
Приход из FoxPro_290|1313||499.85|60|0|0
Приход из FoxPro_290|1938||975.00|24|0|0
Приход из FoxPro_290|1318||259.35|96|0|0
Приход из FoxPro_290|1326||461.50|16|0|0
Приход из FoxPro_290|1338||650.00|60|0|0
Приход из FoxPro_290|1941||1235.00|12|0|0
Приход из FoxPro_290|1595||237.90|72|0|0
Приход из FoxPro_290|1597||390.00|48|0|0
Приход из FoxPro_290|1620||1228.50|8|0|0
Приход из FoxPro_290|1083||273.00|60|0|0
Приход из FoxPro_290|1928||135.85|50|0|0
Приход из FoxPro_290|1090||80.60|50|0|0
Приход из FoxPro_290|1091||105.95|50|0|0
Приход из FoxPro_290|1095||435.24|36|0|0
Приход из FoxPro_290|1111||468.00|24|0|0
Приход из FoxPro_290|1124||556.40|48|0|0
Приход из FoxPro_290|1132||97.50|144|0|0
Приход из FoxPro_290|1199||93.60|144|0|0
Приход из FoxPro_290|1209||400.40|72|0|0
Приход из FoxPro_290|1211||400.40|36|0|0
Приход из FoxPro_290|1238||240.50|72|0|0
Приход из FoxPro_290|1243||153.40|126|0|0
Приход из FoxPro_290|1244||187.20|126|0|0
Приход из FoxPro_290|1246||439.40|48|0|0
Приход из FoxPro_290|1249||538.20|48|0|0
Приход из FoxPro_290|1262||421.20|72|0|0
Приход из FoxPro_290|1263||421.20|48|0|0
Приход из FoxPro_290|1264||421.20|72|0|0
Приход из FoxPro_290|1266||483.60|48|0|0
Приход из FoxPro_290|1268||649.35|16|0|0
Приход из FoxPro_290|1285||1072.50|8|0|0
Приход из FoxPro_290|1287||1105.00|8|0|0
Приход из FoxPro_290|1916||3426.15|2|0|0
Приход из FoxPro_290|1307||362.05|45|0|0
Приход из FoxPro_290|1939||168.35|80|0|0
Приход из FoxPro_290|1940||200.85|80|0|0
Приход из FoxPro_290|1328||633.75|36|0|0
Приход из FoxPro_290|1394||838.50|24|0|0
Приход из FoxPro_290|1396||975.00|16|0|0
Приход из FoxPro_290|1399||975.00|8|0|0
Приход из FoxPro_290|1894||16055.00|2|0|0
Приход из FoxPro_290|1942||168.35|80|0|0
