Название заказа|ID товара|ID аттр|Цена|Количество|Скидка|Налог
Приход из FoxPro_286|1099||196.56|84|0|0
Приход из FoxPro_286|1100||207.48|84|0|0
Приход из FoxPro_286|1092||133.25|120|0|0
Приход из FoxPro_286|1492||17160.00|1|0|0
Приход из FoxPro_286|1133||448.50|72|0|0
Приход из FoxPro_286|1280||767.00|24|0|0
Приход из FoxPro_286|1326||461.50|48|0|0
Приход из FoxPro_286|1595||237.90|96|0|0
Приход из FoxPro_286|1596||331.50|96|0|0
Приход из FoxPro_286|1597||390.00|32|0|0
Приход из FoxPro_286|1598||520.00|54|0|0
Приход из FoxPro_286|1600||507.00|60|0|0
Приход из FoxPro_286|1084||93.60|60|0|0
Приход из FoxPro_286|1088||452.40|16|0|0
Приход из FoxPro_286|1089||631.80|32|0|0
Приход из FoxPro_286|1103||73.32|100|0|0
Приход из FoxPro_286|1132||97.50|144|0|0
Приход из FoxPro_286|1199||93.60|144|0|0
Приход из FoxPro_286|1602||806.00|36|0|0
