Название заказа|ID товара|ID аттр|Цена|Количество|Скидка|Налог
Приход из FoxPro_288|1566||35.34|450|0|0
Приход из FoxPro_288|1568||20.20|232|0|0
Приход из FoxPro_288|1569||267.30|200|0|0
Приход из FoxPro_288|1570||267.30|200|0|0
Приход из FoxPro_288|1572||15.54|308|0|0
Приход из FoxPro_288|1573||22.67|240|0|0
Приход из FoxPro_288|1574||59.40|300|0|0
Приход из FoxPro_288|1575||57.52|132|0|0
Приход из FoxPro_288|1576||57.52|300|0|0
Приход из FoxPro_288|1577||81.97|200|0|0
Приход из FoxPro_288|1578||8.32|2400|0|0
Приход из FoxPro_288|1579||9.72|2000|0|0
Приход из FoxPro_288|1580||8.75|400|0|0
Приход из FoxPro_288|1581||12.85|400|0|0
Приход из FoxPro_288|1583||16.09|800|0|0
Приход из FoxPro_288|1585||27.65|300|0|0
Приход из FoxPro_288|1586||30.13|500|0|0
