Артикул|Кол-во|Мин. кол-во|Склад ID
ПТ201060|50|1|5
Р1050|50|1|5
Р1202|50|1|5
Р1301|50|1|5
РС108|50|1|5
РС111|50|1|5
РС130|50|1|5
РС137|50|1|5
Р2010|50|1|5
Р2310|50|1|5
Р2440|50|1|5
Р2464|50|1|5
Р2730|50|1|5
РС220|50|1|5
Р3020|50|1|5
Р3100|50|1|5
Р3520|50|1|5
Р3530|50|1|5
РС140|50|1|5
РС150|50|1|5
Р4110|50|1|5
РС475|50|1|5
РС480|50|1|5
РС483|50|1|5
РС485|50|1|5
Р5080|50|1|5
Р5543|50|1|5
РС502|50|1|5
РС505|50|1|5
РС530|50|1|5
Р6210|50|1|5
Р6240|50|1|5
Р6272|50|1|5
РС680|50|1|5
Е-С290|50|1|5
Е-С351|50|1|5
РС161|50|1|5
РС580|50|1|5
РС605|50|1|5
РС607|50|1|5
РС609|50|1|5
РС707|50|1|5
РС812|50|1|5
РС824|50|1|5
РС884|50|1|5
РС886|50|1|5
ТР151|50|1|5
ТР152|50|1|5
ТР152|50|1|5
ТР153|50|1|5
ТР156|50|1|5
ТР158|50|1|5
ТР159|50|1|5
ТР160|50|1|5
Р1900|50|1|5
ФДБ|50|1|5
ФДЖ|50|1|5
ФДЗ|50|1|5
ФДО|50|1|5
ФДС|50|1|5
ФОЗ|50|1|5
ФОК|50|1|5
ФОС|50|1|5
