Название заказа|ID товара|ID аттр|Цена|Количество|Скидка|Налог
Приход из FoxPro_272|583||189.15|108|0|0
Приход из FoxPro_272|667||431.60|60|0|0
Приход из FoxPro_272|693||417.30|90|0|0
Приход из FoxPro_272|707||421.85|15|0|0
Приход из FoxPro_272|709||919.75|24|0|0
Приход из FoxPro_272|719||2049.45|8|0|0
Приход из FoxPro_272|429||917.80|16|0|0
Приход из FoxPro_272|751||488.80|54|0|0
Приход из FoxPro_272|784||429.00|96|0|0
Приход из FoxPro_272|786||621.40|72|0|0
Приход из FoxPro_272|800||779.35|108|0|0
Приход из FoxPro_272|650||591.50|30|0|0
