Артикул|Кол-во|Мин. кол-во|Склад ID
ПТ201060|20|1|2
Р1050|20|1|2
Р1202|20|1|2
Р1301|20|1|2
РС108|20|1|2
РС111|20|1|2
РС130|20|1|2
РС137|20|1|2
Р2010|20|1|2
Р2310|20|1|2
Р2440|20|1|2
Р2464|20|1|2
Р2730|20|1|2
РС220|20|1|2
Р3020|20|1|2
Р3100|20|1|2
Р3520|20|1|2
Р3530|20|1|2
РС140|20|1|2
РС150|20|1|2
Р4110|20|1|2
РС475|20|1|2
РС480|20|1|2
РС483|20|1|2
РС485|20|1|2
Р5080|20|1|2
Р5543|20|1|2
РС502|20|1|2
РС505|20|1|2
РС530|20|1|2
Р6210|20|1|2
Р6240|20|1|2
Р6272|20|1|2
РС680|20|1|2
Е-С290|20|1|2
Е-С351|20|1|2
РС161|20|1|2
РС580|20|1|2
РС605|20|1|2
РС607|20|1|2
РС609|20|1|2
РС707|20|1|2
РС812|20|1|2
РС824|20|1|2
РС884|20|1|2
РС886|20|1|2
ТР151|20|1|2
ТР152|20|1|2
ТР152|20|1|2
ТР153|20|1|2
ТР156|20|1|2
ТР158|20|1|2
ТР159|20|1|2
ТР160|20|1|2
Р1900|20|1|2
ФДБ|20|1|2
ФДЖ|20|1|2
ФДЗ|20|1|2
ФДО|20|1|2
ФДС|20|1|2
ФОЗ|20|1|2
ФОК|20|1|2
ФОС|20|1|2
