id;Код;остаток;Склад
1749;DF701012036;0;3
1750;DF701012049;1;3
1753;DF702012019;1;3
1748;DF702012025;0;3
1755;DF702012036;2;3
1754;DF702012100;3;3
1747;DF703012025;0;3
1751;DF703012049;0;3
70;DF701010048;0;3
71;DF701012020;0;3
72;DF701012100;0;3
73;DF701015025;0;3
78;DF702015050;0;3
1756;EC170;6;3
1757;EC201;0;3
1758;EC215;0;3
2018;EC219;2;3
2019;EC220;0;3
2020;EC221;4;3
1759;EC230;3;3
1760;EC232;0;3
1761;EC234;0;3
1762;EC236;8;3
1763;EC240;6;3
1764;EC331;5;3
92;F11049;8;3
1690;GP475;12;3
1684;GP493;18;3
1683;GP497/2;33;3
