id_product;id_shop;name;meta_description;meta_keywords;meta_title;
"205";"16";"X-EMOTION, 36 сек (1.20" x 19)";"У нас Вы можете купить Батареи салютов X-EMOTION, 36 сек (1.20" x 19) TXB756 по самым низким ценам!";"";"Батареи салютов X-EMOTION, 36 сек (1.20" x 19) TXB756";
"208";"16";"TRANDY, 35 сек (1.20" x 19)";"У нас Вы можете купить Батареи салютов TRANDY, 35 сек (1.20" x 19) TXB801 по самым низким ценам!";"";"Батареи салютов TRANDY, 35 сек (1.20" x 19) TXB801";
"211";"16";"YELLOW PURPLE PEONY, 15сек (0.80" x 9)";"У нас Вы можете купить Батареи салютов YELLOW PURPLE PEONY, 15сек (0.80" x 9) TXB821 по самым низким ценам!";"";"Батареи салютов YELLOW PURPLE PEONY, 15сек (0.80" x 9) TXB821";
"212";"16";"MAGIA NOCY, 38 сек (0.80" x 19)";"У нас Вы можете купить Батареи салютов MAGIA NOCY, 38 сек (0.80" x 19) TXB826 по самым низким ценам!";"";"Батареи салютов MAGIA NOCY, 38 сек (0.80" x 19) TXB826";
"213";"16";"Panorama (0.80" x 19)";"У нас Вы можете купить Батареи салютов Лезгинка 28 сек (0.80" x 19) TXB827 по самым низким ценам!";"";"Батареи салютов Лезгинка 28 сек (0.80" x 19) TXB827";
"214";"16";"DOTYK PRZYGODY, 35 сек (0.80" x 36)";"У нас Вы можете купить Батареи салютов DOTYK PRZYGODY, 35 сек (0.80" x 36) TXB828 по самым низким ценам!";"";"Батареи салютов DOTYK PRZYGODY, 35 сек (0.80" x 36) TXB828";
"215";"16";"X-TRANS I,V, 42 сек (1.20" x 19)";"У нас Вы можете купить Батареи салютов X-TRANS I,V, 42 сек (1.20" x 19) TXB849 по самым низким ценам!";"";"Батареи салютов X-TRANS I,V, 42 сек (1.20" x 19) TXB849";
"219";"16";"CRAZY BOX, 40 сек (1.20" x 25)";"У нас Вы можете купить Батареи салютов CRAZY BOX, 40 сек (1.20" x 25) TXB906 по самым низким ценам!";"";"Батареи салютов CRAZY BOX, 40 сек (1.20" x 25) TXB906";
"220";"16";"HIT BOX, 27 сек (0.80" x 100)";"У нас Вы можете купить Батареи салютов HIT BOX, 27 сек (0.80" x 100) TXB908 по самым низким ценам!";"";"Батареи салютов HIT BOX, 27 сек (0.80" x 100) TXB908";
"223";"16";"Римская свеча 5 выстр. (длина трубы 53 см.)";"У нас Вы можете купить Римская свеча 5 выстр. (длина трубы 53 см.) TXC419 по самым низким ценам!";"";"Римская свеча 5 выстр. (длина трубы 53 см.) TXC419";
"224";"16";"Римская свеча 10 выстр.";"У нас Вы можете купить Римская свеча 10 выстр. TXC494 по самым низким ценам!";"";"Римская свеча 10 выстр. TXC494";
"225";"16";"Римская свеча 15 выстр.";"У нас Вы можете купить Римская свеча 15 выстр. TXC495 по самым низким ценам!";"";"Римская свеча 15 выстр. TXC495";
"227";"16";"РИМСКАЯ СВЕЧА (уп. 6 шт.)";"У нас Вы можете купить РИМСКАЯ СВЕЧА (уп. 6 шт.) TXC842 по самым низким ценам!";"";"РИМСКАЯ СВЕЧА (уп. 6 шт.) TXC842";
"229";"16";"РИМСКАЯ СВЕЧА (уп. 2 шт.) 0,75" х 5 залпов";"У нас Вы можете купить РИМСКАЯ СВЕЧА (уп. 2 шт.) 0,75" х 5 залпов TXC861 по самым низким ценам!";"";"РИМСКАЯ СВЕЧА (уп. 2 шт.) 0,75" х 5 залпов TXC861";
"232";"16";"ЖУКИ с разрывом ФИТИЛЬНЫЕ";"У нас Вы можете купить Петарды ЖУКИ с разрывом ФИТИЛЬНЫЕ TXD484 по самым низким ценам!";"";"Петарды ЖУКИ с разрывом ФИТИЛЬНЫЕ TXD484";
"238";"16";"Тортовые свечи 25 см";"У нас Вы можете купить Фонтаны Тортовые свечи 25 см TXF359 по самым низким ценам!";"";"Фонтаны Тортовые свечи 25 см TXF359";
"240";"16";"БЕНГАЛЬСКИЕ ОГНИ 17 см, (уп. 10 шт.)";"У нас Вы можете купить БЕНГАЛЬСКИЕ ОГНИ 17 см, (уп. 10 шт.) TXF426 по самым низким ценам!";"";"БЕНГАЛЬСКИЕ ОГНИ 17 см, (уп. 10 шт.) TXF426";
"243";"16";"Тортовые свечи 18 см";"У нас Вы можете купить Фонтаны Тортовые свечи 18 см TXF637 по самым низким ценам!";"";"Фонтаны Тортовые свечи 18 см TXF637";
"246";"16";"Бенгальские огни 28 см.";"У нас Вы можете купить БЕНГАЛЬСКИЕ ОГНИ 28 см (уп. 10 шт.) TXF748-А по самым низким ценам!";"";"БЕНГАЛЬСКИЕ ОГНИ 28 см (уп. 10 шт.) TXF748-А";
"249";"16";"Фонтан 30 сек, фитиль";"У нас Вы можете купить Фонтан 30 сек, фитиль TXF837 по самым низким ценам!";"";"Фонтан 30 сек, фитиль TXF837";
"250";"16";"Фонтан 1,28 мин, фитиль";"У нас Вы можете купить Фонтан 1,28 мин, фитиль TXF838 по самым низким ценам!";"";"Фонтан 1,28 мин, фитиль TXF838";
"251";"16";"Миномёт (6 шаров)";"У нас Вы можете купить Фестивальные шары Миномёт (6 шаров) TXM434 по самым низким ценам!";"";"Фестивальные шары Миномёт (6 шаров) TXM434";
"253";"16";"Ахтунг (уп. 5 шт.) ФИТИЛЬНЫЕ";"У нас Вы можете купить Петарды Ахтунг (уп. 5 шт.) ФИТИЛЬНЫЕ TXP001 по самым низким ценам!";"";"Петарды Ахтунг (уп. 5 шт.) ФИТИЛЬНЫЕ TXP001";
"254";"16";"TXP066 (уп. 5 шт.) ФИТИЛЬНЫЕ";"У нас Вы можете купить Петарды TXP066 (уп. 5 шт.) ФИТИЛЬНЫЕ TXP066 по самым низким ценам!";"";"Петарды TXP066 (уп. 5 шт.) ФИТИЛЬНЫЕ TXP066";
"257";"16";"ПЕТАРДЫ U2601 Душки (бертолетова соль)";"У нас Вы можете купить ПЕТАРДЫ U2601 Душки (бертолетова соль) TXP082 по самым низким ценам!";"";"ПЕТАРДЫ U2601 Душки (бертолетова соль) TXP082";
"258";"16";"ФИТИЛЬНЫЕ 20 пачек по 10уп/10шт";"У нас Вы можете купить Петарды ФИТИЛЬНЫЕ 20 пачек по 10уп/10шт TXP226 по самым низким ценам!";"";"Петарды ФИТИЛЬНЫЕ 20 пачек по 10уп/10шт TXP226";
"260";"16";"Трескучий гром (уп. 20 шт.) ФИТИЛЬНЫЕ";"У нас Вы можете купить Петарды Трескучий гром (уп. 20 шт.) ФИТИЛЬНЫЕ TXP384 по самым низким ценам!";"";"Петарды Трескучий гром (уп. 20 шт.) ФИТИЛЬНЫЕ TXP384";
"262";"16";"GROM2 (1уп-36шт.) ФИТИЛЬНЫЕ";"У нас Вы можете купить Петарды GROM2 (1уп-36шт.) ФИТИЛЬНЫЕ TXP485 по самым низким ценам!";"";"Петарды GROM2 (1уп-36шт.) ФИТИЛЬНЫЕ TXP485";
"265";"16";"Зеленые шарики (уп. 6 шт.) ФИТИЛЬНЫЕ";"У нас Вы можете купить Петарды Зеленые шарики (уп. 6 шт.) ФИТИЛЬНЫЕ TXP786 по самым низким ценам!";"";"Петарды Зеленые шарики (уп. 6 шт.) ФИТИЛЬНЫЕ TXP786";
"269";"16";"Ракеты (1уп.-9шт.)";"У нас Вы можете купить Ракеты (1уп.-9шт.) TXR141 по самым низким ценам!";"";"Ракеты (1уп.-9шт.) TXR141";
"270";"16";"Ракеты колпаки (1уп.-12шт.)";"У нас Вы можете купить Ракеты колпаки (1уп.-12шт.) TXR371 по самым низким ценам!";"";"Ракеты колпаки (1уп.-12шт.) TXR371";
