Название заказа|ID товара|ID аттр|Цена|Количество|Скидка|Налог
Документ из FoxPro_263|526||347.10|16|0|0
Документ из FoxPro_263|530||112.45|60|0|0
Документ из FoxPro_263|534||280.80|27|0|0
Документ из FoxPro_263|1090||80.61|87|0|0
Документ из FoxPro_263|1105||494.00|10|0|0
Документ из FoxPro_263|1135||572.00|16|0|0
Документ из FoxPro_263|664||327.60|4|0|0
Документ из FoxPro_263|665||348.40|20|0|0
Документ из FoxPro_263|670||299.00|2|0|0
Документ из FoxPro_263|671||299.00|2|0|0
Документ из FoxPro_263|696||348.40|9|0|0
Документ из FoxPro_263|1217||240.50|36|0|0
Документ из FoxPro_263|225||97.60|40|0|0
Документ из FoxPro_263|227||200.77|40|0|0
Документ из FoxPro_263|707||421.85|15|0|0
Документ из FoxPro_263|165||347.45|15|0|0
Документ из FoxPro_263|251||475.72|9|0|0
Документ из FoxPro_263|422||2034.50|1|0|0
Документ из FoxPro_263|429||917.80|4|0|0
Документ из FoxPro_263|720||233.35|36|0|0
Документ из FoxPro_263|725||218.40|24|0|0
Документ из FoxPro_263|737||194.35|48|0|0
Документ из FoxPro_263|803||909.35|9|0|0
Документ из FoxPro_263|806||1039.35|8|0|0
Документ из FoxPro_263|828||6669.00|1|0|0
Документ из FoxPro_263|844||790.40|8|0|0
Документ из FoxPro_263|1263||421.20|24|0|0
Документ из FoxPro_263|1264||421.20|24|0|0
Документ из FoxPro_263|1272||649.35|16|0|0
Документ из FoxPro_263|1283||806.00|11|0|0
Документ из FoxPro_263|1288||1690.00|2|0|0
Документ из FoxPro_263|1338||650.00|12|0|0
Документ из FoxPro_263|1341||975.00|8|0|0
Документ из FoxPro_263|1376||4030.00|1|0|0
Документ из FoxPro_263|1406||1293.50|8|0|0
Документ из FoxPro_263|1407||1293.50|8|0|0
Документ из FoxPro_263|1595||237.90|48|0|0
Документ из FoxPro_263|1596||331.50|24|0|0
Документ из FoxPro_263|1599||559.00|16|0|0
Документ из FoxPro_263|1600||507.00|12|0|0
Документ из FoxPro_263|172||646.92|12|0|0
Документ из FoxPro_263|173||646.92|12|0|0
Документ из FoxPro_263|1579||14.85|400|0|0
Документ из FoxPro_263|1580||13.37|400|0|0
Документ из FoxPro_263|1587||44.55|120|0|0
Документ из FoxPro_263|1565||47.34|10|0|0
Документ из FoxPro_263|1566||54.00|94|0|0
Документ из FoxPro_263|1568||30.86|116|0|0
