Артикул|Кол-во|Мин. кол-во|Склад ID
ПТ201060|40|1|4
Р1050|40|1|4
Р1202|40|1|4
Р1301|40|1|4
РС108|40|1|4
РС111|40|1|4
РС130|40|1|4
РС137|40|1|4
Р2010|40|1|4
Р2310|40|1|4
Р2440|40|1|4
Р2464|40|1|4
Р2730|40|1|4
РС220|40|1|4
Р3020|40|1|4
Р3100|40|1|4
Р3520|40|1|4
Р3530|40|1|4
РС140|40|1|4
РС150|40|1|4
Р4110|40|1|4
РС475|40|1|4
РС480|40|1|4
РС483|40|1|4
РС485|40|1|4
Р5080|40|1|4
Р5543|40|1|4
РС502|40|1|4
РС505|40|1|4
РС530|40|1|4
Р6210|40|1|4
Р6240|40|1|4
Р6272|40|1|4
РС680|40|1|4
Е-С290|40|1|4
Е-С351|40|1|4
РС161|40|1|4
РС580|40|1|4
РС605|40|1|4
РС607|40|1|4
РС609|40|1|4
РС707|40|1|4
РС812|40|1|4
РС824|40|1|4
РС884|40|1|4
РС886|40|1|4
ТР151|40|1|4
ТР152|40|1|4
ТР152|40|1|4
ТР153|40|1|4
ТР156|40|1|4
ТР158|40|1|4
ТР159|40|1|4
ТР160|40|1|4
Р1900|40|1|4
ФДБ|40|1|4
ФДЖ|40|1|4
ФДЗ|40|1|4
ФДО|40|1|4
ФДС|40|1|4
ФОЗ|40|1|4
ФОК|40|1|4
ФОС|40|1|4
