Название заказа|ID товара|ID аттр|Цена|Количество|Скидка|Налог
Приход из FoxPro_298|1028||181.05|72|0|0
Приход из FoxPro_298|583||189.15|72|0|0
Приход из FoxPro_298|650||591.50|20|0|0
Приход из FoxPro_298|2033||1465.75|12|0|0
Приход из FoxPro_298|2035||2096.25|8|0|0
Приход из FoxPro_298|2037||3801.20|2|0|0
Приход из FoxPro_298|1689||4056.00|2|0|0
Приход из FoxPro_298|1018||42.50|384|0|0
Приход из FoxPro_298|2038||69.70|144|0|0
Приход из FoxPro_298|2039||96.90|144|0|0
Приход из FoxPro_298|2040||80.75|144|0|0
Приход из FoxPro_298|1022||107.10|144|0|0
Приход из FoxPro_298|2041||120.70|144|0|0
Приход из FoxPro_298|1025||107.95|72|0|0
Приход из FoxPro_298|2030||151.30|72|0|0
Приход из FoxPro_298|1027||125.80|72|0|0
Приход из FoxPro_298|1029||158.10|72|0|0
Приход из FoxPro_298|526||347.10|32|0|0
Приход из FoxPro_298|527||507.00|24|0|0
Приход из FoxPro_298|528||211.90|60|0|0
Приход из FoxPro_298|531||80.60|500|0|0
Приход из FoxPro_298|534||280.80|200|0|0
Приход из FoxPro_298|535||300.30|50|0|0
Приход из FoxPro_298|536||154.70|100|0|0
Приход из FoxPro_298|581||382.20|60|0|0
Приход из FoxPro_298|584||83.20|240|0|0
Приход из FoxPro_298|587||448.50|60|0|0
Приход из FoxPro_298|588||501.80|20|0|0
Приход из FoxPro_298|596||553.80|12|0|0
Приход из FoxPro_298|1847||279.50|24|0|0
Приход из FoxPro_298|621||276.25|48|0|0
Приход из FoxPro_298|1848||549.90|24|0|0
Приход из FoxPro_298|1926||547.95|32|0|0
Приход из FoxPro_298|2032||799.50|20|0|0
Приход из FoxPro_298|649||257.40|72|0|0
Приход из FoxPro_298|1981||265.20|72|0|0
Приход из FoxPro_298|1850||215.80|108|0|0
Приход из FoxPro_298|1851||176.80|108|0|0
Приход из FoxPro_298|1852||163.80|108|0|0
Приход из FoxPro_298|672||258.70|72|0|0
Приход из FoxPro_298|1853||258.70|72|0|0
Приход из FoxPro_298|1982||341.25|24|0|0
Приход из FoxPro_298|1984||357.50|48|0|0
Приход из FoxPro_298|723||481.00|36|0|0
Приход из FoxPro_298|1854||202.15|72|0|0
Приход из FoxPro_298|733||347.10|48|0|0
Приход из FoxPro_298|1944||161.85|72|0|0
Приход из FoxPro_298|740||211.25|72|0|0
Приход из FoxPro_298|1985||519.35|24|0|0
Приход из FoxPro_298|1986||711.75|24|0|0
Приход из FoxPro_298|1987||681.20|16|0|0
Приход из FoxPro_298|764||2899.00|8|0|0
Приход из FoxPro_298|768||2392.00|4|0|0
Приход из FoxPro_298|773||519.35|18|0|0
Приход из FoxPro_298|2034||2265.25|8|0|0
Приход из FoxPro_298|1785||3919.50|2|0|0
Приход из FoxPro_298|1988||3598.40|4|0|0
Приход из FoxPro_298|1989||1547.00|18|0|0
Приход из FoxPro_298|782||301.60|36|0|0
Приход из FoxPro_298|786||621.40|24|0|0
Приход из FoxPro_298|792||649.35|12|0|0
Приход из FoxPro_298|794||598.00|36|0|0
Приход из FoxPro_298|796||624.00|36|0|0
Приход из FoxPro_298|1856||774.80|24|0|0
Приход из FoxPro_298|1857||734.50|24|0|0
Приход из FoxPro_298|808||1299.35|16|0|0
Приход из FoxPro_298|1992||2392.00|4|0|0
Приход из FoxPro_298|1792||4186.00|4|0|0
Приход из FoxPro_298|2036||4744.35|4|0|0
Приход из FoxPro_298|838||1039.35|8|0|0
Приход из FoxPro_298|844||790.40|16|0|0
Приход из FoxPro_298|869||2922.40|6|0|0
Приход из FoxPro_298|1859||1878.50|8|0|0
Приход из FoxPro_298|387||252.20|72|0|0
Приход из FoxPro_298|1973||2017.60|8|0|0
Приход из FoxPro_298|2031||3228.55|4|0|0
