id_product;reference;r1;r2;r3;rname;rtor
529;Р1060;6;1;50;Бомба с чекой;6
530;Р1080;12;1;160;Корсар 8 мини;1
531;Р1082;3;1;100;Корсар 8;3
532;Р1084;3;1;100;Мега К;3
533;Р1090;6;1;36;Граната;6
534;Р1106;60;12;20;Корсар-1;12
535;Р1202;20;15;25;Корсар 2;15
536;Р1301;10;10;50;Корсар-3;10
538;Р1400;12;12;16;Корсар 4;12
542;Р1600;6;1;100;Корсар 6;1
545;Р1750;4;1;18;Факел дым. кр.;4
546;Р1751;4;1;18;Факел дым. с.;4
547;Р1752;4;1;18;Факел дым. б.;4
548;Р1753;4;1;18;Факел дым. з.;4
555;Р2010;12;12;25;Пугач;12
559;Р2300;6;1;72;Ассорти;6
569;Р2440;4;1;60;Ястреб;4
576;Р2600;4;1;24;Метеор;4
581;Р3010;12;10;30;Огненные пчёлы;10
582;Р3020;12;10;16;Весенняя бабочка;120
583;Р3100;6;1;36;Солнечный цветок;6
584;Р3110;6;1;120;Лунный цветок;6
585;Р3200;4;1;250;Акробат;4
587;Р3520;6;12;20;Веселый жук;12
588;Р3530;6;12;20;Супер жук;12
596;Р4066;4;1;12;Звёздная пыль;4
598;Р4070;4;1;18;Мир фэнтези;4
603;Р4110;2;1;10;Золотой вулкан;2
606;Р4114;2;1;10;Весёлый вулкан;2
607;Р4115;2;1;10;Волшебн. вулкан;2
610;Р4120;1;1;12;Царский;1
613;Р4206;4;1;72;Арабская ночь;4
614;Р4210;4;1;36;Театр кукол;4
615;Р4213;1;1;72;Чародей;1
621;Р4350;1;1;24;3Д-Ёлка;1
643;Р4810;4;20;12;Настольн. фонтан;20
649;Р4830;10;12;24;Искорка;0
650;Р4840;10;10;10;Бенг св. Феникс;0
664;Р5510;4;1;20;Пантера;4
665;Р5512;4;1;20;Гепард;4
667;Р5516;4;1;20;Барракуда;4
670;Р5540;2;1;24;Фантазия;2
671;Р5541;2;1;24;Хохлома;2
672;Р5542;2;1;24;Ламбада;0
683;Р5602;2;1;24;Стрелец;2
684;Р5604;2;1;24;Баккара;2
685;Р5606;2;1;24;Примадонна;2
693;Р5720;1;1;30;Магнолия;1
696;Р5726;1;1;30;Хризантема;1
701;Р5800;1;1;18;Альтаир;1
704;Р5950;1;1;20;Зенитка;0
707;Р6210;1;1;15;Матрёшка;1
709;Р6260;1;1;12;БомбардирЪ;1
714;Р6290;1;1;6;Салют наций;1
715;Р6720;1;1;40;Салют-проказник;1
717;Р6780;1;1;16;Торт с сюрпризом;1
719;Р6820;1;1;4;Светомузыка;1
720;Р7010;1;1;36;Ананас;1
723;Р7040;4;1;12;Пли - 37;4
725;Р7045;1;1;24;Бинго;1
729;Р7064;1;1;24;Фиеста;1
730;Р7065;1;1;24;Морозушко;1
732;Р7071;1;1;24;Мороз трескучий;1
733;Р7072;1;1;24;Банзай;1
734;Р7130;1;1;50;Тролль;1
737;Р7150;1;1;24;Мулен Руж;1
739;Р7160;1;1;24;Сивка-Бурка;1
740;Р7165;1;1;24;Джокер;0
741;Р7200;1;1;24;Текила-бум;1
742;Р7205;1;1;24;Иван-Царевич;0
743;Р7210;1;1;24;Ёлка с огоньком;1
744;Р7212;1;1;18;Снеговой;1
746;Р7215;1;1;16;С днём рождения!;1
747;Р7220;1;1;16;Русский сувенир;0
751;Р7300;1;1;18;Бубль-гум;1
752;Р7302;1;1;16;Жар-птица;1
753;Р7311;1;1;24;Сорвиголова;1
754;Р7312;1;1;18;Сказки Пушкина;1
759;Р7321;1;1;12;Балалайка;1
761;Р7324;1;1;8;Зимние гонки;1
762;Р7325;1;1;8;Пламенный привет;1
763;Р7326;1;1;4;Краски жизни;1
