Название заказа|ID товара|ID аттр|Цена|Количество|Скидка|Налог
Приход из FoxPro_274|1083||13.65|600|0|0
Приход из FoxPro_274|1085||23.40|480|0|0
Приход из FoxPro_274|1088||37.70|768|0|0
Приход из FoxPro_274|1089||52.65|768|0|0
Приход из FoxPro_274|1090||80.60|100|0|0
Приход из FoxPro_274|1093||54.21|288|0|0
Приход из FoxPro_274|1095||72.54|216|0|0
Приход из FoxPro_274|1097||941.85|16|0|0
Приход из FoxPro_274|1100||207.48|84|0|0
Приход из FoxPro_274|1102||105.95|96|0|0
Приход из FoxPro_274|1104||1048.32|24|0|0
Приход из FoxPro_274|1105||49.40|320|0|0
Приход из FoxPro_274|1106||219.05|40|0|0
Приход из FoxPro_274|1110||268.32|50|0|0
Приход из FoxPro_274|1132||97.50|144|0|0
Приход из FoxPro_274|1133||448.50|72|0|0
Приход из FoxPro_274|1134||464.75|60|0|0
Приход из FoxPro_274|1135||572.00|80|0|0
Приход из FoxPro_274|1138||1622.40|12|0|0
Приход из FoxPro_274|1139||877.50|24|0|0
Приход из FoxPro_274|1111||46.80|480|0|0
Приход из FoxPro_274|1115||189.15|108|0|0
Приход из FoxPro_274|1118||267.80|40|0|0
Приход из FoxPro_274|1124||556.40|48|0|0
Приход из FoxPro_274|1125||716.30|36|0|0
Приход из FoxPro_274|1126||647.40|48|0|0
Приход из FoxPro_274|1127||1664.00|8|0|0
Приход из FoxPro_274|1180||451.75|48|0|0
Приход из FoxPro_274|1183||383.50|24|0|0
Приход из FoxPro_274|1185||1166.75|20|0|0
Приход из FoxPro_274|1186||508.95|12|0|0
Приход из FoxPro_274|1187||508.95|24|0|0
Приход из FoxPro_274|1188||353.60|48|0|0
Приход из FoxPro_274|1189||728.00|12|0|0
Приход из FoxPro_274|1191||308.75|32|0|0
Приход из FoxPro_274|1192||171.60|144|0|0
Приход из FoxPro_274|1194||2054.00|4|0|0
Приход из FoxPro_274|1197||1028.95|16|0|0
Приход из FoxPro_274|1207||887.90|16|0|0
Приход из FoxPro_274|1208||1755.00|4|0|0
Приход из FoxPro_274|1209||400.40|108|0|0
Приход из FoxPro_274|1210||400.40|36|0|0
Приход из FoxPro_274|1211||400.40|108|0|0
Приход из FoxPro_274|1212||213.20|108|0|0
Приход из FoxPro_274|1216||240.50|36|0|0
Приход из FoxPro_274|1217||240.50|108|0|0
Приход из FoxPro_274|1220||343.20|36|0|0
Приход из FoxPro_274|1223||390.00|96|0|0
Приход из FoxPro_274|1224||240.50|108|0|0
Приход из FoxPro_274|1227||426.40|72|0|0
Приход из FoxPro_274|1228||435.50|24|0|0
Приход из FoxPro_274|1229||538.20|72|0|0
Приход из FoxPro_274|1230||538.20|36|0|0
Приход из FoxPro_274|1231||538.20|24|0|0
Приход из FoxPro_274|1234||415.35|36|0|0
Приход из FoxPro_274|1236||265.20|72|0|0
Приход из FoxPro_274|1237||258.05|36|0|0
Приход из FoxPro_274|1238||240.50|72|0|0
Приход из FoxPro_274|1239||370.50|36|0|0
Приход из FoxPro_274|1240||630.50|25|0|0
Приход из FoxPro_274|1242||487.50|50|0|0
Приход из FoxPro_274|1243||153.40|84|0|0
Приход из FoxPro_274|1245||178.75|72|0|0
Приход из FoxPro_274|1246||439.40|24|0|0
Приход из FoxPro_274|1248||403.00|24|0|0
Приход из FoxPro_274|1307||362.05|15|0|0
Приход из FoxPro_274|1309||586.95|36|0|0
Приход из FoxPro_274|1311||1322.10|12|0|0
Приход из FoxPro_274|1262||421.20|48|0|0
Приход из FoxPro_274|1263||421.20|24|0|0
Приход из FoxPro_274|1264||421.20|120|0|0
Приход из FoxPro_274|1266||483.60|48|0|0
Приход из FoxPro_274|1268||649.35|48|0|0
Приход из FoxPro_274|1271||649.35|80|0|0
Приход из FoxPro_274|1272||649.35|64|0|0
Приход из FoxPro_274|1273||649.35|48|0|0
Приход из FoxPro_274|1279||1235.00|32|0|0
Приход из FoxPro_274|1280||767.00|60|0|0
Приход из FoxPro_274|1281||1820.00|12|0|0
Приход из FoxPro_274|1283||806.00|48|0|0
Приход из FoxPro_274|1285||1072.50|16|0|0
Приход из FoxPro_274|1287||1105.00|24|0|0
Приход из FoxPro_274|1295||3000.40|8|0|0
Приход из FoxPro_274|1297||2535.00|24|0|0
Приход из FoxPro_274|1313||499.85|48|0|0
Приход из FoxPro_274|1328||633.75|36|0|0
Приход из FoxPro_274|1329||747.50|36|0|0
Приход из FoxPro_274|1337||1625.00|16|0|0
Приход из FoxPro_274|1338||650.00|36|0|0
Приход из FoxPro_274|1339||975.00|16|0|0
Приход из FoxPro_274|1341||975.00|16|0|0
Приход из FoxPro_274|1342||975.00|16|0|0
Приход из FoxPro_274|1344||1040.00|24|0|0
Приход из FoxPro_274|1345||975.00|16|0|0
Приход из FoxPro_274|1347||1495.00|8|0|0
Приход из FoxPro_274|1348||1495.00|16|0|0
Приход из FoxPro_274|1349||1428.70|16|0|0
Приход из FoxPro_274|1350||1430.00|24|0|0
Приход из FoxPro_274|1359||2080.00|24|0|0
Приход из FoxPro_274|1360||1942.20|24|0|0
Приход из FoxPro_274|1390||845.00|16|0|0
Приход из FoxPro_274|1394||838.50|24|0|0
Приход из FoxPro_274|1395||838.50|24|0|0
Приход из FoxPro_274|1396||975.00|24|0|0
Приход из FoxPro_274|1397||975.00|16|0|0
Приход из FoxPro_274|1398||975.00|16|0|0
Приход из FoxPro_274|1399||975.00|16|0|0
Приход из FoxPro_274|1400||975.00|16|0|0
Приход из FoxPro_274|1406||1293.50|32|0|0
Приход из FoxPro_274|1407||1293.50|32|0|0
Приход из FoxPro_274|1409||1365.00|12|0|0
Приход из FoxPro_274|1410||1365.00|12|0|0
Приход из FoxPro_274|1412||1293.50|24|0|0
Приход из FoxPro_274|1413||2080.00|16|0|0
Приход из FoxPro_274|1416||1920.10|16|0|0
Приход из FoxPro_274|1419||1820.00|30|0|0
Приход из FoxPro_274|1424||2193.75|8|0|0
Приход из FoxPro_274|1428||2703.35|8|0|0
Приход из FoxPro_274|1468||22750.00|1|0|0
Приход из FoxPro_274|1476||1885.00|16|0|0
Приход из FoxPro_274|1477||4988.75|2|0|0
Приход из FoxPro_274|1595||237.90|24|0|0
Приход из FoxPro_274|1596||331.50|120|0|0
Приход из FoxPro_274|1598||520.00|36|0|0
