Product ID|Active (0/1)|Name *|Categories (x,y,z...)|Price|Налог ID|Оптовая цена|Распродажа (0/1)|Величина скидки|Процент скидки|Скидка с (yyyy-mm-dd)|Скидка по (yyyy-mm-dd)|Артикул|Артикул поставщика|Поставщик|Производитель|R1|R2|R3|Штрих EAN13|Штрих EAN13|Штрих EAN13|Штрих UPC|Экол. налог|Ширина|Высота|Глубина|Вес|Кол-во|Мин. кол-во|Видимость|Доп расходы доставка|Ед. изм|Ед. изм Пост|К-нт передачи|Текст фасовки|Сертификат|Сертификат полный|ГТД|Ед. изм 2|Цена|Короткое описание|Описание|Метки (x,y,z...)|Meta title|Meta keywords|Meta description|URL rewritten|Текст в наличии|Текст на заказ|Доступен (0/1)|Дата доступен|Дата создания|Отображать цену (0/1)|URL фото (x,y,z...)|Удалить фото (0/1)|Характеристика (Name:Value:Position)|Доступен только онлайн (0/1)|Состояние|Настраиваемый (0 = No, 1 = Yes)|Загружаемые файлы (0 = No, 1 = Yes)|Текстовые поля (0 = No, 1 = Yes)|Действия когда нет в наличии|ID магазина|Расширенное управление (0 = No, 1 = Yes)|Количество (0 = Страница, 1 = Склад)|Склад ID
11|1|Огненные пчёлы||110.00|0|110.00||||||Р3010|Р3010|1|1|12|10|30||||||4.500000|2.800000|2.800000|0.266667||1|||2|2|1|за 1 бл.из 10 уп.по 12 шт.|ЩШ01.А.00027        |ЩШ01.А.00027 0464045 ООО "Испытательный центр "ПИРОТЕСТ" ООО "Русский фейерверк" RR-01/17 от 17.01.2017 22.08.2017-21.08.2020                                                                                                                             |10130080/180517/0011277  |уп.|5000||<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/wIvq8rgRYOk?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/р3010.jpg^http://ogonek.beget.tech/images/р3010-1.jpg|1|||new||||2|1^4^5^6|1|1|
12|1|Весенняя бабочка||120.00|0|120.00||||||Р3020|Р3020|1|1|12|10|16||||||6.700000|3.600000|3.600000|0.500000||1|||2|2|1|за 1 бл.из 10 уп.по 12 шт.|ЩШ01.А.00027        |ЩШ01.А.00027 0464045 ООО "Испытательный центр "ПИРОТЕСТ" ООО "Русский фейерверк" RR-01/17 от 17.01.2017 22.08.2017-21.08.2020                                                                                                                             |10130080/180517/0011277  |уп.|5000||<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/ZdxQslAjxWs?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/р3020.jpg^http://ogonek.beget.tech/images/р3020-1.jpg|1|||new||||2|1^4^5^6|1|1|
13|1|Веселый жук||130.00|0|130.00||||||Р3520|Р3520|1|1|6|12|20||||||5.300000|1.600000|1.600000|0.800000||1|||2|2|1|за 1 бл.из 12 уп.по 6 шт.|СЗ25.А.00027        |СЗ25.А.00027 0155667 ООО "Северо-Западная НПЛ" ООО "Русский фейерверк" RR-01/16 от 02.02.2016 07.09.2016-06.09.2019                                                                                                                                       |10130080/180517/0011277  |уп.|5000||<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/x2F0liz4nsg?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/р3520.jpg^http://ogonek.beget.tech/images/р3520-1.jpg^http://ogonek.beget.tech/images/р3520-2.jpg|1|||new||||2|1^4^5^6|1|1|
14|1|Супер жук||140.00|0|140.00||||||Р3530|Р3530|1|1|6|12|20||||||5.300000|1.600000|1.600000|0.750000||1|||2|2|1|за 1 бл.из 12 уп.по 6 шт.|ЩШ01.А.00027        |ЩШ01.А.00027 0464045 ООО "Испытательный центр "ПИРОТЕСТ" ООО "Русский фейерверк" RR-01/17 от 17.01.2017 22.08.2017-21.08.2020                                                                                                                             |10130080/180517/0011277  |уп.|5000||<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/bthR1d1K3kY?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/р3530.jpg^http://ogonek.beget.tech/images/р3530-1.jpg^http://ogonek.beget.tech/images/р3530-2.jpg|1|||new||||2|1^4^5^6|1|1|
15|1|Жучок-светлячок|5^35|150.00|0|150.00||||||РС150|РС150|1|3|9|10|36||||||8.500000|2.300000|6.300000|0.388889||1|||2|2|1|за 1 бл.из 10 уп.по 9 шт.|ЦЦ07.А.00213        |ЦЦ07.А.00213 0022321 НПЭБиС "Пиротекс" ОАО "ФНПЦ "НИИ прикладной химии" RP-02/13 от 07.02.2013 24.09.2013-23.09.2016                                                                                                                                      |10130080/080413/0011734  |уп.|5000|Крутится с разбрасыванием искр, останавливается и горит пульсирующим огнем|Крутится с разбрасыванием искр, останавливается и горит пульсирующим огнем<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/d411LUtydws?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/рс150.jpg^http://ogonek.beget.tech/images/рс150-1.jpg^http://ogonek.beget.tech/images/рс150-2.jpg^http://ogonek.beget.tech/images/рс150-3.jpg^http://ogonek.beget.tech/images/рс150-4.jpg|1|||new||||2|1^4^5^6|1|1|
16|1|Звёздный десант|5^36|160.00|0|160.00||||||РС160|РС160|1|3|1|1|12||||||36.000000|15.000000|15.000000|0.666667||1|||0|0|1|за 1 шт.|ЦЦ09.А.00443        |ЦЦ09.А.00443 0153798 ООО "Пуск" ОАО "ФНПЦ "НИИ прикладной химии" RP-02/15 от 17.02.2015 25.11.2015-24.11.2018                                                                                                                                             |10130080/020614/0002535  |уп.|5000|Мощная форсовая трасса со свистом и  выбросом букетика из разноцветных  или трещащих огней.|Мощная форсовая трасса со свистом и  выбросом букетика из разноцветных  или трещащих огней.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/S8kZChg84IM?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/рс160.jpg^http://ogonek.beget.tech/images/рс160-1.jpg^http://ogonek.beget.tech/images/рс160-2.jpg|1|||new||||2|1^4^5^6|1|1|
17|1|Гюльчатай|6|170.00|0|170.00||||||Р4222|Р4222|1|1|4|1|36||||||15.400000|5.000000|5.000000|0.458333||1|||1|1|1|за 1 уп.из 4 шт.|ЦЦ07.А.00358        |ЦЦ07.А.00358 0092468 НПЭБиС "Пиротекс" ООО "Русский фейерверк" RR-03/13 от 20.02.2013 19.09.2014-18.09.2017                                                                                                                                               |10130080/240414/0010877  |уп.|5000|пылает ослепительным потоком золотых искр и зеленых огней, с переходом в поток белоснежных искр, а под конец - поток белых трещащих разлетающихся искр и красных огней|пылает ослепительным потоком золотых искр и зеленых огней, с переходом в поток белоснежных искр, а под конец - поток белых трещащих разлетающихся искр и красных огней<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/jlwPWD7tk04?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/р4222.jpg^http://ogonek.beget.tech/images/р4222-1.jpg^http://ogonek.beget.tech/images/р4222-2.jpg^http://ogonek.beget.tech/images/р4222-3.jpg|1|Высота, м.:2:3||new||||2|1^4^5^6|1|1|
18|1|Птица|6|180.00|0|180.00||||||Р4390|Р4390|1|1|1|1|40||||||17.500000|9.800000|9.800000|0.362500||1|||0|0|1|за 1 шт.|ЦЦ07.А.00358        |ЦЦ07.А.00358 0092468 НПЭБиС "Пиротекс" ООО "Русский фейерверк" RR-03/13 от 20.02.2013 19.09.2014-18.09.2017                                                                                                                                               |10130080/240414/0010877  |уп.|5000|1. Поток золотых искр и белые вспышки. 2. Поток золотых искр и красные огни. 3. Белые вспышки и зеленые огни. 4. Поток золотых искр и треск.|1. Поток золотых искр и белые вспышки. 2. Поток золотых искр и красные огни. 3. Белые вспышки и зеленые огни. 4. Поток золотых искр и треск.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/Gdu_J_IebYA?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/р4390.jpg^http://ogonek.beget.tech/images/р4390-1.jpg^http://ogonek.beget.tech/images/р4390-2.jpg^http://ogonek.beget.tech/images/р4390-3.jpg^http://ogonek.beget.tech/images/р4390-4.jpg|1|Высота, м.:2:3||new||||2|1^4^5^6|1|1|
19|1|Фонтан|6^43^44|190.00|0|190.00||||||Р4816|Р4816|1|1|1|1|48||||||11.500000|7.200000|7.200000|0.114583||1|||0|0|1|за 1 шт.|ЦЦ07.А.00220        |ЦЦ07.А.00220 0022329 НПЭБиС "Пиротекс" ООО "Яркое зрелище" YZ-01/2013 от 21.02.2013 09.10.2013-08.10.2016                                                                                                                                                 |10130080/230413/0001772  |уп.|5000|поджигаете центральный фонтан - и под звуки "Happy birthday to you!" цветок медленно раскрывается, при этом на каждом лепестке загораются свечки. Отличием является цвет - лотос полностью покрыт золотистой краской, что придает ему еще более праздничный вид!|поджигаете центральный фонтан - и под звуки "Happy birthday to you!" цветок медленно раскрывается, при этом на каждом лепестке загораются свечки. Отличием является цвет - лотос полностью покрыт золотистой краской, что придает ему еще более праздничный вид!<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/TQX5lF8lSDo?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/р4816.jpg^http://ogonek.beget.tech/images/р4816-1.jpg|1|||new||||2|1^4^5^6|1|1|
20|1|Зашибись|6^45|200.00|0|200.00||||||РС171|РС171|1|3|1|1|12||||||17.100000|14.600000|14.600000|1.666667||1|||0|0|1|за 1 шт.|ЦЦ09.А.00687        |ЦЦ09.А.00687 0159054 ООО "ПУСК" АО "ФНПЦ "НИИПХ" RR-02/17 от 08.02.2017 22.08.2017-21.08.2020                                                                                                                                                             |10130080/120715/0001540  |уп.|5000|Поток золотых трещащих разлетающихся искр; красных и зеленых огней. 2. Красные огни и швермерные элементы. 3. Зеленые огни и серебряные искристые форсы. 4. Красные огни и множество трещащих сфер.|Поток золотых трещащих разлетающихся искр; красных и зеленых огней. 2. Красные огни и швермерные элементы. 3. Зеленые огни и серебряные искристые форсы. 4. Красные огни и множество трещащих сфер.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/k9bt-UM3QFo?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/рс171.jpg^http://ogonek.beget.tech/images/rc171-1.jpg^http://ogonek.beget.tech/images/рс171-1.jpg^http://ogonek.beget.tech/images/rc171-2.jpg^http://ogonek.beget.tech/images/рс171-2.jpg^http://ogonek.beget.tech/images/rc171-3.jpg^http://ogonek.beget.tech/images/рс171-3.jpg^http://ogonek.beget.tech/images/rc171-4.jpg^http://ogonek.beget.tech/images/рс171-4.jpg^http://ogonek.beget.tech/images/rc171-5.jpg^http://ogonek.beget.tech/images/рс171-5.jpg^http://ogonek.beget.tech/images/rc171-6.jpg^http://ogonek.beget.tech/images/рс171-6.jpg|1|Количество залпов:12:1^Калибр, дюйм:1:2^Высота, м.:35:3^Время, сек.:30:4||new||||2|1^4^5^6|1|1|
