id;Имя;Код;Категория; Базовая цена ;Количество;Процент скидки
16;"Световое фейерверк-шоу Волшебный фонарь""""";2170;Прочее; 1 232,39р. ;0;10
17;"Световая бенгальская свеча Звёздная пыль""""";2402;Прочее; 178,92р. ;0;10
