16;"Световое фейерверк-шоу ""Волшебный фонарь"""
17;"Световая бенгальская свеча ""Звёздная пыль"""
18;"Светящаяся ракета ""Дракон"""
19;"Помповый бластер ""Римская свеча"""
20;"Светящаяся ракета ""Молния"""
21;"Световой фейерверк - шоу ""Весёлая карусель"""
22;"Свистящие шары ""Весёлый проныра"""
24;"Шоу конусных фонтанов ""Огненная фантазия"""
70;"Зимняя сказка (1,0"" х 48)"
71;"Праздник жизни (1,2"" х 20)"
72;"Свадебный салют (1,2"" х 100)"
73;"С Новым Годом! (1,5"" х 25)"
78;"Совет да любовь (1,5"" х 50)"
92;Matabrujas (уп.  5 шт.) ФИТИЛЬНЫЕ
111;Ахтунг (уп. 100 шт.) ТЕРОЧНЫЕ
115;Ахтунг (уп. 12 шт.) ТЕРОЧНЫЕ
116;Ахтунг (уп. 3 шт.) ТЕРОЧНЫЕ
119;К0202Петарды (1уп-20шт.) ТЕРОЧНЫЕ
120;К0202Петарды (1уп-20шт.) ФИТИЛЬНЫЕ
121;Петарды (1уп-12шт.) ФИТИЛЬНЫЕ
122;Ракеты свистульки
123;Миномёт (12 шаров)
127;Crazy robot     (уп. 12 шт.) ФИТИЛЬНЫЕ
130;Фонтан тортовый 12 см
131;Фонтан тортовый 10 см
133;"TOURBILLON, 39 сек (1.20"" x 25)"
134;"FRANKEE  + FONTANNA, 60 сек (1.20"" x 37)"
135;"GOLDEN WATERFALL, 26сек (1.00"" x 16)"
136;"ENDURO 25S 1.2"", 35 сек (1.20"" x 25)"
138;"SANSATION , 27 сек (0.80"" x 25)"
140;"PLUS+ , 16 сек (0.80"" x 16)"
141;"DARK AGE ,20 сек (0.80"" x 16)"
142;"Champion , 23 сек (1.00"" x 36)"
146;"ROYAL, 50 сек (1.20"" x 25)"
148;"КАТЮША (50 выстрелов) (0.30"" x 50)"
149;"КАТЮША (100 выстрелов) (0.30"" x 100)"
150;"TREE COLOURS, 20 сек (1.00"" x 16)"
151;"COCO, 38 сек (1.00"" x 25)"
152;"NIGHT AURA , 34 сек (1.00"" x 25)"
153;"LILY MAGNOLIA, 20 сек (1.00"" x 16)"
154;"TURBO BOX, 58 сек (1.20"" x 36)"
156;"RAINBOW, 19 сек (1.20"" x 8)"
157;"PURPLE TAIL, 16сек (1.00"" x 10)"
160;"CANCER, 30 сек (1.00"" x 16)"
165;Миномёт (8 шаров)
166;"BATTLEFIELD, (1.20"" x 13)"
168;"Paris (1,2"" х 13)"
169;"КАТЮША (16 выстрелов) (0.30"" x 16)"
172;"IMPACT, 28 сек (1.20"" x 19)"
173;"APRIL, 35 сек (1.20"" x 19)"
