Product ID|Active (0/1)|Name *|Categories (x,y,z...)|Price|Налог ID|Оптовая цена|Распродажа (0/1)|Величина скидки|Процент скидки|Скидка с (yyyy-mm-dd)|Скидка по (yyyy-mm-dd)|Артикул|Артикул поставщика|Поставщик|Производитель|R1|R2|R3|Штрих EAN13|Штрих EAN13|Штрих EAN13|Штрих UPC|Экол. налог|Ширина|Высота|Глубина|Вес|Кол-во|Мин. кол-во|Видимость|Доп расходы доставка|Ед. изм|Ед. изм Пост|К-нт передачи|Текст фасовки|Страна происх.|Сертификат|Сертификат полный|ГТД|Ед. изм 2|Цена|Короткое описание|Описание|Метки (x,y,z...)|Meta title|Meta keywords|Meta description|URL rewritten|Текст в наличии|Текст на заказ|Доступен (0/1)|Дата доступен|Дата создания|Отображать цену (0/1)|URL фото (x,y,z...)|Удалить фото (0/1)|Характеристика (Name:Value:Position)|Доступен только онлайн (0/1)|Состояние|Настраиваемый (0 = No, 1 = Yes)|Загружаемые файлы (0 = No, 1 = Yes)|Текстовые поля (0 = No, 1 = Yes)|Действия когда нет в наличии|ID магазина|Расширенное управление (0 = No, 1 = Yes)|Количество (0 = Страница, 1 = Склад)|Склад ID
1|1|Matabrujas (уп.  5 шт.) ФИТИЛЬНЫЕ||117.00|0|99.00||||||F11049|F11049|1|12|5|1|80||||||0.000000|0.000000|0.000000|0.000000||1|||1|1|1|за 1 уп.из 5 шт.|3|BY/11200028         |BY/11200028 .  .    -  .  .                                                                                                                                                                                                                               |10130080/230615/0014265  |шт.|23.40||<br><BR>||||||||1|||1|http://cc68339.tmweb.ru/images/|1|||new||||2|1^4^5^6|1|1|
2|1|Ахтунг (уп. 100 шт.) ТЕРОЧНЫЕ||98.28|0|83.16||||||K00203|K00203|1|12|100|1|50||||||0.000000|0.000000|0.000000|0.000000||1|||1|1|1|за 1 уп.из 100 шт.|3|BY/11200028         |BY/11200028 .  .    -  .  .                                                                                                                                                                                                                               |10130080/230615/0014265  |шт.|0.98||<br><BR>||||||||1|||1|http://cc68339.tmweb.ru/images/|1|||new||||2|1^4^5^6|1|1|
4|1|Корсар (уп. 100 шт.) ТЕРОЧНЫЕ||136.50|0|115.50||||||K00203-3|K00203-3|1|12|100|1|50||||||0.000000|0.000000|0.000000|0.000000||1|||1|1|1|за 1 уп.из 100 шт.|3|                    | .  .    -  .  .                                                                                                                                                                                                                                          |10130080/230615/0014265  |шт.|1.37||<br><BR>||||||||1|||1|http://cc68339.tmweb.ru/images/|1|||new||||2|1^4^5^6|1|1|
6|1|Ахтунг (уп. 12 шт.) ТЕРОЧНЫЕ||37.45|0|31.69||||||K00204|K00204|1|12|12|1|192||||||0.000000|0.000000|0.000000|0.000000||1|||1|1|1|за 1 уп.из 12 шт.|3|BY/11200028         |BY/11200028 .  .    -  .  .                                                                                                                                                                                                                               |10130080/230615/0014265  |шт.|3.12||<br><BR>||||||||1|||1|http://cc68339.tmweb.ru/images/https://goo.gl/photo|1|||new||||2|1^4^5^6|1|1|
7|1|Ахтунг (уп. 3 шт.) ТЕРОЧНЫЕ||78.00|0|66.00||||||K00208|K00208|1|12|3|1|100||||||0.000000|0.000000|0.000000|0.000000||1|||1|1|1|за 1 уп.из 3 шт.|3|BY/11200028         |BY/11200028 .  .    -  .  .                                                                                                                                                                                                                               |10130080/230615/0014265  |шт.|26.00||<br><BR>||||||||1|||1|http://cc68339.tmweb.ru/images/|1|||new||||2|1^4^5^6|1|1|
9|1|К0201Петарды (1уп-60шт.) ФИТИЛЬНЫЕ||25.75|0|21.79||||||K0201-2|K0201-2|1|12|60|1|240||||||0.000000|0.000000|0.000000|0.000000||1|||1|1|1|за 1 уп.из 60 шт.|3|BY/11200052         |BY/11200052 0035070 РУП "Белорусский государственный центр аккредитации" ЧТПУП "Салютэкс" 01/B от 30.05.2014 28.08.2014-30.07.2017                                                                                                                        |10130080/230615/0014265  |шт.|0.43||<br><BR>||||||||1|||1|http://cc68339.tmweb.ru/images/|1|||new||||2|1^4^5^6|1|1|
10|1|К0202Петарды (1уп-20шт.) ТЕРОЧНЫЕ||15.60|0|13.20||||||K0202-1|K0202-1|1|12|20|1|500||||||0.000000|0.000000|0.000000|0.000000||1|||1|1|1|за 1 уп.из 20 шт.|3|BY/11200052         |BY/11200052 0035070 РУП "Белорусский государственный центр аккредитации" ЧТПУП "Салютэкс" 01/B от 30.05.2014 28.08.2014-30.07.2017                                                                                                                        |10130080/230615/0014265  |шт.|0.78||<br><BR>https://youtu.be/iDQGTnWwa-E||||||||1|||1|http://cc68339.tmweb.ru/images/https://goo.gl/photo|1|||new||||2|1^4^5^6|1|1|
11|1|К0202Петарды (1уп-20шт.) ФИТИЛЬНЫЕ||21.05|0|17.81||||||K0202-2|K0202-2|1|12|20|1|500||||||0.000000|0.000000|0.000000|0.000000||1|||1|1|1|за 1 уп.из 20 шт.|3|BY/11200052         |BY/11200052 0035070 РУП "Белорусский государственный центр аккредитации" ЧТПУП "Салютэкс" 01/B от 30.05.2014 28.08.2014-30.07.2017                                                                                                                        |10130080/230615/0014265  |шт.|1.05||<br><BR>||||||||1|||1|http://cc68339.tmweb.ru/images/https://goo.gl/photo|1|||new||||2|1^4^5^6|1|1|
12|1|Петарды (1уп-12шт.) ФИТИЛЬНЫЕ||54.60|0|46.20||||||K0204CE|K0204CE|1|12|12|1|192||||||0.000000|0.000000|0.000000|0.000000||1|||1|1|1|за 1 уп.из 12 шт.|3|BY/11200052         |BY/11200052 0035070 РУП "Белорусский государственный центр аккредитации" ЧТПУП "Салютэкс" 01/B от 30.05.2014 28.08.2014-30.07.2017                                                                                                                        |10130080/230615/0014265  |шт.|4.55||<br><BR>||||||||1|||1|http://cc68339.tmweb.ru/images/https://goo.gl/photo|1|||new||||2|1^4^5^6|1|1|
13|1|Crazy robot     (уп. 12 шт.) ФИТИЛЬНЫЕ||296.40|0|250.80||||||S01002|S01002|1|12|12|1|72||||||0.000000|0.000000|0.000000|0.000000||1|||1|1|1|за 1 уп.из 12 шт.|3|BY/11200028         |BY/11200028 .  .    -  .  .                                                                                                                                                                                                                               |10130080/230615/0014265  |шт.|24.70||<br><BR>https://youtu.be/LCdi3vutfVw||||||||1|||1|http://cc68339.tmweb.ru/images/https://goo.gl/photo|1|||new||||2|1^4^5^6|1|1|
