Артикул|Кол-во|Мин. кол-во|Склад ID
ПТ201060|30|1|3
Р1050|30|1|3
Р1202|30|1|3
Р1301|30|1|3
РС108|30|1|3
РС111|30|1|3
РС130|30|1|3
РС137|30|1|3
Р2010|30|1|3
Р2310|30|1|3
Р2440|30|1|3
Р2464|30|1|3
Р2730|30|1|3
РС220|30|1|3
Р3020|30|1|3
Р3100|30|1|3
Р3520|30|1|3
Р3530|30|1|3
РС140|30|1|3
РС150|30|1|3
Р4110|30|1|3
РС475|30|1|3
РС480|30|1|3
РС483|30|1|3
РС485|30|1|3
Р5080|30|1|3
Р5543|30|1|3
РС502|30|1|3
РС505|30|1|3
РС530|30|1|3
Р6210|30|1|3
Р6240|30|1|3
Р6272|30|1|3
РС680|30|1|3
Е-С290|30|1|3
Е-С351|30|1|3
РС161|30|1|3
РС580|30|1|3
РС605|30|1|3
РС607|30|1|3
РС609|30|1|3
РС707|30|1|3
РС812|30|1|3
РС824|30|1|3
РС884|30|1|3
РС886|30|1|3
ТР151|30|1|3
ТР152|30|1|3
ТР152|30|1|3
ТР153|30|1|3
ТР156|30|1|3
ТР158|30|1|3
ТР159|30|1|3
ТР160|30|1|3
Р1900|30|1|3
ФДБ|30|1|3
ФДЖ|30|1|3
ФДЗ|30|1|3
ФДО|30|1|3
ФДС|30|1|3
ФОЗ|30|1|3
ФОК|30|1|3
ФОС|30|1|3
