Артикул|Цена|Кол-во|Склад ID
РТ210|48.40|14|1
РТ211|48.40|14|1
РТ303|44.47|72|1
РТ305|41.29|72|1
РФ103|53.00|52|1
С059|6750.00|3|1
С066|8120.00|5|1
СРС005|13650.00|2|1
ТР104|29.28|482|1
ТР107|52.08|343|1
ТР108|59.40|233|1
ТР109|34.61|572|1
ТР110|33.94|298|1
ТР111|449.21|44|1
ТР112|449.21|24|1
ТР114|34.34|605|1
ТР115|50.31|252|1
ТР151|99.83|185|1
ТР152|96.67|295|1
ТР154|137.76|100|1
ТР156|16.34|2388|1
ТР157|14.70|3641|1
ТР158|21.60|469|1
ТР161|42.11|343|1
ТР162|46.46|15|1
ТР163|50.64|9|1
ТР164|49.01|444|1
ТР705|33.88|88|1
ТР707|33.88|119|1
ТР708|33.88|99|1
ТР709|33.88|107|1
ТС620|510.00|74|1
ТС641|800.00|46|1
ТС642|860.00|51|1
ТС643|800.00|27|1
ТС652|1240.00|18|1
ТС653|1190.00|20|1
ТС661|1653.00|5|1
ТС662|1570.00|14|1
ТС681|3800.00|4|1
ТС710|710.00|77|1
ТС720|800.00|50|1
ТС730|1044.00|46|1
ТС741|1374.00|48|1
ТС742|1374.00|37|1
ТС752|1818.00|11|1
ТС761|2325.00|4|1
ТС831|1322.00|39|1
ТС832|1500.00|41|1
ТС841|1740.00|5|1
ТС861|3412.00|3|1
ФДЖ|919.60|19|1
ФДО|919.60|12|1
ФДС|1064.80|20|1
ФОЖ|822.80|27|1
ФОК|822.80|13|1
ФОС|968.00|23|1
брил40бел|58.08|30|1
овал31бел|53.24|18|1
цил40бел|58.08|101|1
