Product ID|Active (0/1)|Name *|Categories (x,y,z...)|Price|Макс скидка|Налог ID|Оптовая цена|Распродажа (0/1)|Величина скидки|Процент скидки|Скидка с (yyyy-mm-dd)|Скидка по (yyyy-mm-dd)|Артикул|Артикул поставщика|Поставщик|Производитель|R1|R2|R3|Годен до|Срок годности|Осн. категория|Акционный?|Розн.наим.|К-нт для розницы|Розн.цена|Розн.ед.изм.|Для агенств|Объем коробки|Штрих EAN13|Штрих EAN13|Штрих EAN13|Штрих UPC|Экол. налог|Ширина|Высота|Глубина|Вес|Кол-во|Мин. кол-во|Видимость|Доп расходы доставка|Ед. изм|Ед. изм Пост|К-нт передачи|Текст фасовки|Страна происх.|Сертификат|Сертификат полный|ГТД|Ед. изм 2|Цена|Короткое описание|Описание|Метки (x,y,z...)|Meta title|Meta keywords|Meta description|URL rewritten|Текст в наличии|Текст на заказ|Доступен (0/1)|Дата доступен|Дата создания|Отображать цену (0/1)|URL фото (x,y,z...)|Удалить фото (0/1)|Характеристика (Name:Value:Position)|Доступен только онлайн (0/1)|Состояние|Настраиваемый (0 = No, 1 = Yes)|Загружаемые файлы (0 = No, 1 = Yes)|Текстовые поля (0 = No, 1 = Yes)|Действия когда нет в наличии|ID магазина|Расширенное управление (0 = No, 1 = Yes)|Количество (0 = Страница, 1 = Склад)|Склад ID
1585|1|Бенг. свечи "Сердечко" (фигурная)|10^22^26|46.46|100|0|21.12||||||ТР162|ТР162|1|4|2|1|100|02-21|3|8|0|Сердечко|1|100.00|1|0|0.012000||||||27.500000|1.500000|9.000000|0.021000||1|||1|1|1|за 1 уп. из 2 шт.|2|ЦЦ09.В.00315        |ЦЦ09.В.00315 0246199 ООО "Пуск" ООО "ТСЗ" 9639-006-96286627-2010 13.05.2015-12.05.2018                                                                                                                                                                    |                         |шт.|23.23|Разлетающиеся сверкающие искры|Разлетающиеся сверкающие искры<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/cWdIzU7ku9o?rel=0" frameborder="0" allowfullscreen></iframe>||Бенгальские свечи Бенг. свечи "Сердечко" (фигурная) ТР162 ОПТОМ                                                                                                                                                                                               |                                                                                                                                                                                                                                                              |У нас Вы можете купить Бенгальские свечи Бенг. свечи "Сердечко" (фигурная) ТР162 ОПТОМ по самым низким ценам!                                                                                                                                                 ||||1|||1|http://cx14726.tmweb.ru/images/тр162.jpg^http://cx14726.tmweb.ru/images/тр162-1.jpg|1|||new||||2|1^9|1|1|
1586|1|Бенг. свечи "Елочка" (фигурная)|10^22^26|50.64|100|0|23.02||||||ТР163|ТР163|1|4|2|1|100|02-21|3|8|0|Елочка|1|100.00|1|0|0.012000||||||27.500000|1.500000|9.000000|0.020000||1|||1|1|1|за 1 уп. из 2 шт.|2|ЦЦ09.В.00315        |ЦЦ09.В.00315 0246199 ООО "Пуск" ООО "ТСЗ" 9639-006-96286627-2010 13.05.2015-12.05.2018                                                                                                                                                                    |                         |шт.|25.32|Разлетающиеся сверкающие искры|Разлетающиеся сверкающие искры<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/btwgH4msRnk?rel=0" frameborder="0" allowfullscreen></iframe>||Бенгальские свечи Бенг. свечи "Елочка" (фигурная) ТР163 ОПТОМ                                                                                                                                                                                                 |                                                                                                                                                                                                                                                              |У нас Вы можете купить Бенгальские свечи Бенг. свечи "Елочка" (фигурная) ТР163 ОПТОМ по самым низким ценам!                                                                                                                                                   ||||1|||1|http://cx14726.tmweb.ru/images/тр163.jpg^http://cx14726.tmweb.ru/images/тр163-1.jpg^http://cx14726.tmweb.ru/images/тр163-2.jpg|1|||new||||2|1^9|1|1|
1587|1|Бенг. свечи "Свиристель" (со свистом)|10^22^27|49.01|100|0|22.28||||||ТР164|ТР164|1|4|5|1|120|04-18|1|8|0|Свиристель|1|100.00|1|0|0.008000||||||36.500000|1.000000|3.500000|0.043333||1|||1|1|1|за 1 уп. из 5 шт.|2|ЦЦ09.В.00315        |ЦЦ09.В.00315 0246199 ООО "Пуск" ООО "ТСЗ" 9639-006-96286627-2010 13.05.2015-12.05.2018                                                                                                                                                                    |                         |шт.|9.80|Разлетающиеся сверкающие искры, свист|Разлетающиеся сверкающие искры, свист<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/xhHddSHKpf0?rel=0" frameborder="0" allowfullscreen></iframe>||Бенгальские свечи Бенг. свечи "Свиристель" (со свистом) ТР164 ОПТОМ                                                                                                                                                                                           |                                                                                                                                                                                                                                                              |У нас Вы можете купить Бенгальские свечи Бенг. свечи "Свиристель" (со свистом) ТР164 ОПТОМ по самым низким ценам!                                                                                                                                             ||||1|||1|http://cx14726.tmweb.ru/images/тр164.jpg^http://cx14726.tmweb.ru/images/тр164-1.jpg^http://cx14726.tmweb.ru/images/тр164-2.jpg^http://cx14726.tmweb.ru/images/тр164-3.jpg^http://cx14726.tmweb.ru/images/тр164-4.jpg^http://cx14726.tmweb.ru/images/тр164-5.jpg|1|||new||||2|1^9|1|1|
1590|1|Пневмо-хлопушка "Пистоль"|12|33.88|10|0|8.25||||||ТР705|ТР705|1|4|2|1|50||4|10|0|Пистоль|2|30.00|0|0|0.009000||||||0.000000|0.000000|0.000000|0.036000||1|||1|1|1|за 1 уп. из 2 шт.|2|ЛТ47.В.00730        |ЛТ47.В.00730 001062 ООО "Тестпром" ООО "ТСЗ" ТО № 1-12 12.10.2012-06.09.2015                                                                                                                                                                              |                         |шт.|16.94||<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/?rel=0" frameborder="0" allowfullscreen></iframe>||Пневмо-хлопушка "Пистоль" ТР705 ОПТОМ                                                                                                                                                                                                                         |                                                                                                                                                                                                                                                              |У нас Вы можете купить Пневмо-хлопушка "Пистоль" ТР705 ОПТОМ по самым низким ценам!                                                                                                                                                                           ||||1|||1|http://cx14726.tmweb.ru/images/тр705.jpg|1|||new||||2|1^9|1|1|
1592|1|Пневмо-хлопушка "Букетик"|12|33.88|10|0|8.25||||||ТР707|ТР707|1|4|3|1|70||4|10|0|Букетик|3|20.00|0|0|0.009000||||||0.000000|0.000000|0.000000|0.025714||1|||1|1|1|за 1 уп. из 3 шт.|2|ЛТ47.В.00730        |ЛТ47.В.00730 001062 ООО "Тестпром" ООО "ТСЗ" ТО № 1-12 12.10.2012-06.09.2015                                                                                                                                                                              |                         |шт.|11.29||<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/?rel=0" frameborder="0" allowfullscreen></iframe>||Пневмо-хлопушка "Букетик" ТР707 ОПТОМ                                                                                                                                                                                                                         |                                                                                                                                                                                                                                                              |У нас Вы можете купить Пневмо-хлопушка "Букетик" ТР707 ОПТОМ по самым низким ценам!                                                                                                                                                                           ||||1|||1|http://cx14726.tmweb.ru/images/тр707.jpg|1|||new||||2|1^9|1|1|
1593|1|Пневмо-хлопушка "ZOOпарк"|12|33.88|10|0|8.25||||||ТР708|ТР708|1|4|3|1|70||4|10|0|ZOOпарк|3|20.00|0|0|0.009000||||||0.000000|0.000000|0.000000|0.025714||1|||1|1|1|за 1 уп. из 3 шт.|2|нет                 |                                                                                                                                                                                                                                                          |                         |шт.|11.29||<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/?rel=0" frameborder="0" allowfullscreen></iframe>||Пневмо-хлопушка "ZOOпарк" ТР708 ОПТОМ                                                                                                                                                                                                                         |                                                                                                                                                                                                                                                              |У нас Вы можете купить Пневмо-хлопушка "ZOOпарк" ТР708 ОПТОМ по самым низким ценам!                                                                                                                                                                           ||||1|||1|http://cx14726.tmweb.ru/images/тр708.jpg|1|||new||||2|1^9|1|1|
1594|1|Пневмо-хлопушка "Супер букетик"|12|33.88|10|0|8.25||||||ТР709|ТР709|1|4|2|1|70||4|10|0|Супер букетик|2|30.00|0|0|0.009000||||||0.000000|0.000000|0.000000|0.025714||1|||1|1|1|за 1 уп. из 2 шт.|2|ЛТ47.В.00730        |ЛТ47.В.00730 001062 ООО "Тестпром" ООО "ТСЗ" ТО № 1-12 12.10.2012-06.09.2015                                                                                                                                                                              |                         |шт.|16.94||<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/?rel=0" frameborder="0" allowfullscreen></iframe>||Пневмо-хлопушка "Супер букетик" ТР709 ОПТОМ                                                                                                                                                                                                                   |                                                                                                                                                                                                                                                              |У нас Вы можете купить Пневмо-хлопушка "Супер букетик" ТР709 ОПТОМ по самым низким ценам!                                                                                                                                                                     ||||1|||1|http://cx14726.tmweb.ru/images/тр709.jpg|1|||new||||2|1^9|1|1|
1595|1|Золотая рыбка (0,8"х 10)|9^63^71^85^87^107^114^116|366.00|100|0|201.30||||||ТС610|ТС610|1|3|1|1|24|04-21|3|7|0|Золотая рыбка (0,8"х 10)|1|800.00|0|0|0.033000||||||10.800000|10.800000|10.800000|0.625000||1|||0|0|1|за 1 шт.|1|ЦЦ09.А.00729        |ЦЦ09.А.00729 0159096 ООО "ПУСК" АО "ФНПЦ "НИИПХ" RP-01/17 от 14.01.2017 13.10.2017-12.10.2020                                                                                                                                                             |10130080/200517/0000820  |||4 эффекта. Разноцветные кометы разрываются сферами из: 1. зеленых мерцающих огней и<BR>серебряных форсов;<BR>2. красных и разлетающихся<BR>трещащих огней;<BR>3. золотых форсов и синих<BR>огней;<BR>4. золотых форсов с<BR>зелеными огнями на концах<BR>и разлетающихся трещащих<BR>огней.|<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/Pz62hXyyZCg?rel=0" frameborder="0" allowfullscreen></iframe>||Батареи салютов Золотая рыбка (0,8"х 10) ТС610 ОПТОМ                                                                                                                                                                                                          |                                                                                                                                                                                                                                                              |У нас Вы можете купить Батареи салютов Золотая рыбка (0,8"х 10) ТС610 ОПТОМ по самым низким ценам!                                                                                                                                                            ||||1|||1|http://cx14726.tmweb.ru/images/тс610.jpg|1|Количество залпов:10:1^Калибр, дюйм:0.8:2^Высота, м.:35:3^Время, сек.:25:4||new||||2|1^9|1|1|
1596|1|Снеговиман (0,8" х 16)|9^63^71^74^85^87^107^114^116|510.00|100|0|280.50||||||ТС620|ТС620|1|3|1|1|24|04-21|3|7|0|Снеговичок|1|980.00|0|0|0.032000||||||10.800000|9.700000|9.800000|0.833333||1|||0|0|1|за 1 шт.|1|ЦЦ09.А.00729        |ЦЦ09.А.00729 0159096 ООО "ПУСК" АО "ФНПЦ "НИИПХ" RP-01/17 от 14.01.2017 13.10.2017-12.10.2020                                                                                                                                                             |10130080/200517/0000820  |||4 эффекта.<BR>Разноцветные кометы<BR>разрываются сферами из:<BR>1. красных и белых мерцающих<BR>огней;<BR>2. фиолетовых и зеленых огней;<BR>3. серебряных форсов и<BR>трещащих золотых искр;<BR>4. зеленых огней и множества<BR>трещащих сфер.|<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/CaNZXS_UY1s?rel=0" frameborder="0" allowfullscreen></iframe>||Батареи салютов Снеговиман (0,8" х 16) ТС620 ОПТОМ                                                                                                                                                                                                            |                                                                                                                                                                                                                                                              |У нас Вы можете купить Батареи салютов Снеговиман (0,8" х 16) ТС620 ОПТОМ по самым низким ценам!                                                                                                                                                              ||||1|||1|http://cx14726.tmweb.ru/images/тс620.jpg|1|Количество залпов:16:1^Калибр, дюйм:0.8:2^Высота, м.:35:3^Время, сек.:30:4||new||||2|1^9|1|1|
1597|1|Конек-Горбунок (0,8"х 19)|9^63^71^85^87^107^114^116|600.00|100|0|330.00||||||ТС630|ТС630|1|3|1|1|16|04-21|3|7|0|Конек-Горбунок (0,8"х 19)|1|1200.00|0|0|0.035000||||||15.000000|11.000000|12.500000|0.937500||1|||0|0|1|за 1 шт.|1|ЦЦ09.А.00729        |ЦЦ09.А.00729 0159096 ООО "ПУСК" АО "ФНПЦ "НИИПХ" RP-01/17 от 14.01.2017 13.10.2017-12.10.2020                                                                                                                                                             |10130080/200517/0000820  |||4 эффекта.<BR>Разноцветные кометы, золотые<BR>трассы разрываются сферами<BR>из:<BR>1. зеленых и красных огней с<BR>серебряными форсами;<BR>2. золотых форсов и синих<BR>огней;<BR>3. трещащих и красных огней с<BR>серебряными форсами;<BR>4. зеленых огней с форсами и<BR>множества трещащих сфер.|<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/MBE_Pv2HPWA?rel=0" frameborder="0" allowfullscreen></iframe>||Батареи салютов Конек-Горбунок (0,8"х 19) ТС630 ОПТОМ                                                                                                                                                                                                         |                                                                                                                                                                                                                                                              |У нас Вы можете купить Батареи салютов Конек-Горбунок (0,8"х 19) ТС630 ОПТОМ по самым низким ценам!                                                                                                                                                           ||||1|||1|http://cx14726.tmweb.ru/images/тс630.jpg|1|Количество залпов:19:1^Калибр, дюйм:0.8:2^Высота, м.:35:3^Время, сек.:25:4||new||||2|1^9|1|1|
