Product ID|Active (0/1)|Name *|Categories (x,y,z...)|Price|Налог ID|Оптовая цена|Распродажа (0/1)|Величина скидки|Процент скидки|Скидка с (yyyy-mm-dd)|Скидка по (yyyy-mm-dd)|Артикул|Артикул поставщика|Поставщик|Производитель|R1|R2|R3|Штрих EAN13|Штрих EAN13|Штрих EAN13|Штрих UPC|Экол. налог|Ширина|Высота|Глубина|Вес|Кол-во|Мин. кол-во|Видимость|Доп расходы доставка|Ед. изм|Ед. изм Пост|К-нт передачи|Текст фасовки|Страна происх.|Сертификат|Сертификат полный|ГТД|Ед. изм 2|Цена|Короткое описание|Описание|Метки (x,y,z...)|Meta title|Meta keywords|Meta description|URL rewritten|Текст в наличии|Текст на заказ|Доступен (0/1)|Дата доступен|Дата создания|Отображать цену (0/1)|URL фото (x,y,z...)|Удалить фото (0/1)|Характеристика (Name:Value:Position)|Доступен только онлайн (0/1)|Состояние|Настраиваемый (0 = No, 1 = Yes)|Загружаемые файлы (0 = No, 1 = Yes)|Текстовые поля (0 = No, 1 = Yes)|Действия когда нет в наличии|ID магазина|Расширенное управление (0 = No, 1 = Yes)|Количество (0 = Страница, 1 = Склад)|Склад ID
1590|1|Пневмо-хлопушка "Пистоль"|12|28.00|0|15.00||||||ТР705|ТР705|1|4|2|1|50||||||0.000000|0.000000|0.000000|0.036000||1|||1|1|1|за 1 уп. из 2 шт.|2|нет                 |нет 001062 ООО "Тестпром" ООО "ТСЗ" ТО № 1-12 12.10.2012-06.09.2015                                                                                                                                                                                       |                         |шт.|14.00||<br><BR>||||||||1|||1|http://ogonek.beget.tech/images/тр705.jpg|1|||new||||2|1^4^5^6|1|1|
1592|1|Букетик|12|28.00|0|15.00||||||ТР707|ТР707|1|4|3|1|70||||||0.000000|0.000000|0.000000|0.025714||1|||1|1|1|за 1 уп. из 3 шт.|2|нет                 |нет 001062 ООО "Тестпром" ООО "ТСЗ" ТО № 1-12 12.10.2012-06.09.2015                                                                                                                                                                                       |                         |шт.|9.33||<br><BR>||||||||1|||1|http://ogonek.beget.tech/images/тр707.jpeg|1|||new||||2|1^4^5^6|1|1|
1593|1|Пневмо-хлопушка "ZOOпарк"|12|28.00|0|15.00||||||ТР708|ТР708|1|4|3|1|70||||||0.000000|0.000000|0.000000|0.025714||1|||1|1|1|за 1 уп. из 3 шт.|2|нет                 |нет 001062 ООО "Тестпром" ООО "ТСЗ" ТО № 1-12 12.10.2012-06.09.2015                                                                                                                                                                                       |                         |шт.|9.33||<br><BR>||||||||1|||1|http://ogonek.beget.tech/images/тр708.jpg|1|||new||||2|1^4^5^6|1|1|
1594|1|Супер букетик|12|28.00|0|15.00||||||ТР709|ТР709|1|4|2|1|70||||||0.000000|0.000000|0.000000|0.025714||1|||1|1|1|за 1 уп. из 2 шт.|2|нет                 |нет 001062 ООО "Тестпром" ООО "ТСЗ" ТО № 1-12 12.10.2012-06.09.2015                                                                                                                                                                                       |                         |шт.|14.00||<br><BR>||||||||1|||1|http://ogonek.beget.tech/images/тр709.png|1|||new||||2|1^4^5^6|1|1|
1599|1|Снегири,|9^63^71^71^74^74^76^76^107^114^117|861.00|0|491.40||||||ТС642|ТС642|1|4|1|1|16||||||13.000000|12.500000|13.000000|1.187500||1|||0|0|1|за 1 шт.|1|ЦЦ09.А.00687        |ЦЦ09.А.00687 0159054 ООО "ПУСК" АО "ФНПЦ "НИИПХ" RR-02/17 от 08.02.2017 22.08.2017-21.08.2020                                                                                                                                                             |10130080/190414/0003560  |||5 эффектов.<BR>Разноцветные кометы,<BR>искристые трассы<BR>разрываются сферами из:<BR>1. красных и белых мерцающих<BR>огней;<BR>2. красных и зеленых<BR>мерцающих огней;<BR>3. красных огней с<BR>серебряными форсами;<BR>4. зеленых огней с<BR>серебряными форсами;<BR>5. множества серебряных<BR>разлетающихся трещащих искр.|5 эффектов.<BR>Разноцветные кометы,<BR>искристые трассы<BR>разрываются сферами из:<BR>1. красных и белых мерцающих<BR>огней;<BR>2. красных и зеленых<BR>мерцающих огней;<BR>3. красных огней с<BR>серебряными форсами;<BR>4. зеленых огней с<BR>серебряными форсами;<BR>5. множества серебряных<BR>разлетающихся трещащих искр.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/06ACauIXPD8?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/тс642.jpg|1|Количество залпов:25:1^Калибр, дюйм:0.8:2^Высота, м.:35:3^Время, сек.:35:4||new||||2|1^4^5^6|1|1|
1600|1|Снегопарни (0,8"х 25)|9^63^71^71^74^84^84^85^85^86^86^88^88^107^114^117|769.00|0|769.00||||||ТС643|ТС643|1|3|1|1|12||||||0.000000|0.000000|0.000000|1.250000||1|||0|0|1|за 1 шт.|1|ЦЦ09.А.00694        |ЦЦ09.А.00694 0159061 ООО "ПУСК" АО "ФНПЦ "НИИПХ" RP-01/17 от 14.02.2017 28.08.2017-27.08.2020                                                                                                                                                             |10130080/050716/0003251  ||||<br><BR>||||||||1|||1|http://ogonek.beget.tech/images/тс643.jpg|1|Количество залпов:25:1^Калибр, дюйм:0.8:2^Время, сек.:0:4||new||||2|1^4^5^6|1|1|
1602|1|Цветущая сакура|9^63^71^71^76^82^82^83^83^107^114^118|1240.00|0|708.30||||||ТС652|ТС652|1|4|1|1|12||||||16.800000|12.500000|14.000000|1.666667||1|||0|0|1|за 1 шт.|1|ЦЦ09.А.00687        |ЦЦ09.А.00687 0159054 ООО "ПУСК" АО "ФНПЦ "НИИПХ" RR-02/17 от 08.02.2017 22.08.2017-21.08.2020                                                                                                                                                             |10130080/190414/0003560  |||5 эффектов.<BR>Разноцветные кометы<BR>разрываются сферами из:<BR>1. красных огней и множества<BR>трещащих сфер;<BR>2. зеленых огней и множества<BR>трещащих сфер;<BR>3. синих огней и множества<BR>трещащих сфер;<BR>4. фиолетовых огней и<BR>множества трещащих сфер;<BR>5. серебряных форсов и<BR>трещащих золотых огней.|5 эффектов.<BR>Разноцветные кометы<BR>разрываются сферами из:<BR>1. красных огней и множества<BR>трещащих сфер;<BR>2. зеленых огней и множества<BR>трещащих сфер;<BR>3. синих огней и множества<BR>трещащих сфер;<BR>4. фиолетовых огней и<BR>множества трещащих сфер;<BR>5. серебряных форсов и<BR>трещащих золотых огней.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/ZMqweHgYqlM?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/тс652.jpg|1|Количество залпов:36:1^Калибр, дюйм:0.8:2^Высота, м.:35:3^Время, сек.:40:4||new||||2|1^4^5^6|1|1|
1604|1|Страна чудес|9^63^71^71^73^76^76^85^85^87^87^107^114^119|1653.00|0|897.30||||||ТС661|ТС661|1|4|1|1|8||||||21.500000|12.500000|12.500000|2.000000||1|||0|0|1|за 1 шт.|1|ЦЦ09.А.00674        |ЦЦ09.А.00674 0159041 ООО "Пуск" АО "ФНПЦ "НИИПХ" RP-02/17 от 08.02.2017 24.07.2017-23.07.2020                                                                                                                                                             |10130080/190414/0003560  |||4 эффекта.<BR>Разноцветные кометы<BR>разрываются сферами из:<BR>1. красных огней с<BR>серебряными форсами и<BR>зеленых мерцающих огней;<BR>2. зеленых огней с<BR>серебряными форсами;<BR>3. серебряных мерцающих<BR>форсов;<BR>4. красных огней и множества<BR>трещащих сфер.|4 эффекта.<BR>Разноцветные кометы<BR>разрываются сферами из:<BR>1. красных огней с<BR>серебряными форсами и<BR>зеленых мерцающих огней;<BR>2. зеленых огней с<BR>серебряными форсами;<BR>3. серебряных мерцающих<BR>форсов;<BR>4. красных огней и множества<BR>трещащих сфер.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/HVLncJ-ei00?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/тс661.jpg|1|Количество залпов:48:1^Калибр, дюйм:0.8:2^Высота, м.:35:3^Время, сек.:60:4||new||||2|1^4^5^6|1|1|
1610|1|Огненный дракон|9^65^71^71^85^87^87^107^114^116|717.00|0|378.00||||||ТС710|ТС710|1|4|1|1|12||||||15.800000|14.700000|14.700000|1.083333||1|||0|0|1|за 1 шт.|1|ЦЦ09.А.00689        |ЦЦ09.А.00689 0159056 ООО "Пуск" АО "ФНПЦ "НИИПХ" RP-01/17 от 14.02.2017 22.08.2017-21.08.2020                                                                                                                                                             |10130080/190414/0003560  |||4 эффекта.<BR>Разноцветные кометы<BR>разрываются сферами из:<BR>1. серебряных мерцающих<BR>огней и золотых искристых<BR>форсов;<BR>2. зеленых огней и искристых<BR>золотых форсов;<BR>3. фиолетовых огней и золотых<BR>искристых форсов;<BR>4. золотых трещащих огней и<BR>золотых искристых форсов.|4 эффекта.<BR>Разноцветные кометы<BR>разрываются сферами из:<BR>1. серебряных мерцающих<BR>огней и золотых искристых<BR>форсов;<BR>2. зеленых огней и искристых<BR>золотых форсов;<BR>3. фиолетовых огней и золотых<BR>искристых форсов;<BR>4. золотых трещащих огней и<BR>золотых искристых форсов.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/fwWwj7E41lY?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/тс710.jpg|1|Количество залпов:13:1^Калибр, дюйм:1:2^Высота, м.:40:3^Время, сек.:30:4||new||||2|1^4^5^6|1|1|
1611|1|Мурзик и Барсик|9^65^71^71^88^88^107^114^116|808.00|0|424.80||||||ТС720|ТС720|1|4|1|1|12||||||15.000000|11.600000|11.600000|1.416667||1|||0|0|1|за 1 шт.|1|ЦЦ09.А.00689        |ЦЦ09.А.00689 0159056 ООО "Пуск" АО "ФНПЦ "НИИПХ" RP-01/17 от 14.02.2017 22.08.2017-21.08.2020                                                                                                                                                             |10130080/190414/0003560  |||4 эффекта.<BR>Разноцветные кометы<BR>разрываются сферами из:<BR>1. золотых форсов с красными<BR>и зелеными огнями на концах;<BR>2. зеленых огней с<BR>серебряными искристыми<BR>форсами и множества<BR>трещащих сфер;<BR>3. синих огней и золотых<BR>искристых форсов;<BR>4. красных огней с<BR>серебряными искристыми<BR>форсами и множества<BR>трещащих сфер.|4 эффекта.<BR>Разноцветные кометы<BR>разрываются сферами из:<BR>1. золотых форсов с красными<BR>и зелеными огнями на концах;<BR>2. зеленых огней с<BR>серебряными искристыми<BR>форсами и множества<BR>трещащих сфер;<BR>3. синих огней и золотых<BR>искристых форсов;<BR>4. красных огней с<BR>серебряными искристыми<BR>форсами и множества<BR>трещащих сфер.<br><BR><iframe width="560" height="315" src="https://www.youtube.com/embed/-94zq1y6xs8?rel=0" frameborder="0" allowfullscreen></iframe>||||||||1|||1|http://ogonek.beget.tech/images/тс720.jpg|1|Количество залпов:16:1^Калибр, дюйм:1:2^Высота, м.:40:3^Время, сек.:35:4||new||||2|1^4^5^6|1|1|
