Category ID|Active (0/1)|Name *|�������|Parent category|Root category (0/1)|Description|Meta title|Meta keywords|Meta description|URL rewritten|Image URL|Shop ID
67|1|более 1,3 дюйма|707|107|0|||||||1^2
68|1|Комбинированные|708|107|0|||||||1^2
114|1|Кол. залпов|710|9|0|||||||1^2
115|1|менее 10 залпов|711|114|0|||||||1^2
116|1|10-19 залпов|712|114|0|||||||1^2
117|1|20-29 залпов|713|114|0|||||||1^2
118|1|30-39 залпов|714|114|0|||||||1^2
119|1|40-49 залпов|715|114|0|||||||1^2
120|1|50-69 залпов|716|114|0|||||||1^2
121|1|70-99 залпов|717|114|0|||||||1^2
122|1|100-149 залпов|718|114|0|||||||1^2
123|1|150-199 залпов|719|114|0|||||||1^2
72|1|Многоуровневый|720|9|0|||||||1^2
124|1|более 200 залпов|720|114|0|||||||1^2
73|1|С оконцовкой|725|9|0|||||||1^2
69|1|Веерные|730|9|0|||||||1^2
70|1|С фонтаном|735|9|0|||||||1^2
76|1|Модульная|736|9|0|||||||1^2
77|1|3Д|737|9|0|||||||1^2
75|1|Элитная|745|9|0|||||||1^2
71|1|Тематика|750|9|0|||||||1^2
74|1|Зимняя|751|71|0|||||||1^2
78|1|Новогодняя|752|71|0|||||||1^2
109|1|Рождество|753|71|0|||||||1^2
79|1|Военная|754|71|0|||||||1^2
80|1|Подарочная|755|71|0|||||||1^2
81|1|Свадебная|756|71|0|||||||1^2
82|1|Романтическая|757|71|0|||||||1^2
83|1|Для милых дам|758|71|0|||||||1^2
84|1|Для мужчин|759|71|0|||||||1^2
85|1|Для детей|760|71|0|||||||1^2
86|1|Для молодежи|761|71|0|||||||1^2
87|1|Сказочная|762|71|0|||||||1^2
88|1|С юмором|763|71|0|||||||1^2
10|1|Бенгальские свечи|800|2|0|Бенгальские свечи – это радость из детства. Холодные искры, которые можно ловить руками, чем не чудо? Бенгальские свечи оптом станут отличным выбором для любого праздника, особенно для детского, потому что позволяют малышам в прямом смысле прикоснуться к волшебству. Бенгальские огни оптом бывают разной длины, некоторые могут гореть несколько минут. Сегодня бенгальские свечи оптом купить можно разных цветов, с эффектами или без эффектов.|Бенгальские огни купить, бенгальские свечи оптом.|бенгальские свечи оптом    бенгальские огни оптом   бенгальские свечи оптом купить|Бенгальские свечи от производителя. Купить бенгальские огни оптом. Доставка по РФ с собственного склада без задержек! Бенгальские свечи оптом купить.||http://cx14726.tmweb.ru/images/тр158-1.jpg|1^2
22|1|Малые|801|10|0|||||||1^2
23|1|Средние|802|10|0|||||||1^2
24|1|Крупные|803|10|0|||||||1^2
25|1|Цветные|804|10|0|||||||1^2
26|1|Фигурные|805|10|0|||||||1^2
27|1|С эффектами|806|10|0|||||||1^2
11|1|Хлопушки|900|2|0|Хлопушки оптом на любом празднике сразу привлекают внимание благодаря громкому звуку, яркой россыпи цветных конфетти, серпантина, а иногда и сюрпризом внутри. Хлопушка купить оптом – отличная идея для любого торжества. Многообразие внешнего исполнения и внутренней начинки позволяет сделать эффект от хлопушек более ярким. Хлопушки оптом от производителя изготавливаются из высококачественных материалов, что исключает риск при их правильном использовании.|Хлопушки оптом от производителя, купить хлопушки.|хлопушки оптом                                      хлопушка купить оптом        хлопушки оптом +от производителя|Купить хлопушки для праздника. Хлопушки оптом. Хлопушки на свадьбу. Широкий ассортимент хлопушек от производителя в наличии!||http://cx14726.tmweb.ru/images/тр104.jpg|1^2
100|1|С серпантином|901|11|0|||||||1^2
101|1|С конфетти|902|11|0|||||||1^2
102|1|С сюрпризом|903|11|0|||||||1^2
103|1|Макси|904|11|0|||||||1^2
104|1|Супер|905|11|0|||||||1^2
105|1|Наборы|906|11|0|||||||1^2
12|1|Пневмохлопушки|1000|2|0|Пневмохлопушки оптом часто служат для развлечения гостей и создания необычного впечатления о празднике. Особенностью пневмохлопушек является то, что они приводятся в действие не воспламенением пиротехнического состава, а под действием сжатого газа. Поэтому пневмохлопушки оптом – это приятное и безопасное украшение праздника, доступное как взрослым, так и детям под присмотром.|Пневмохлопушки оптом - купить по ценам производителя.|пневмохлопушки оптом|Большой выбор пневмохлопушек. Пневмохлопушки купить оптом от производителя. Доставка по всей России! Весь товар уже в наличии на собственном складе!||http://cx14726.tmweb.ru/images/р9030.jpg|1^2
96|1|20 см|1001|12|0|||||||1^2
97|1|30 см|1002|12|0|||||||1^2
98|1|60 см|1003|12|0|||||||1^2
99|1|100 см|1004|12|0|||||||1^2
13|0|Светящиеся палочки|1100|2|0|||||||1^2
14|1|Небесные фонарики|1200|2|0|Невесомые и яркие небесные фонарики плывут в вышине, как светящиеся облачка. Радостно наблюдать, как они поднимаются над землей, унося ввысь чье-то прошептанное желание! Для кого-то запуск небесных фонариков уже стал традицией, а для кого-то это исключительно элемент праздничного торжества. В любом случае, небесные фонарики оптом приобрели большую популярность в нашей стране. Оптом купить небесный фонарик можно разнообразной формы и цвета.|Купить небесные фонарики оптом, небесный фонарик на праздник.|небесные фонарики оптом                       оптом купить небесный фонарик|Небесные фонарики оптом. Купить небесный фонарик различных форм и цветов. Большой ассортимент уже в наличии! Доставка по всей России.||http://cx14726.tmweb.ru/images/овал40крас-2.jpg|1^2
89|1|Бриллиант|1201|14|0|||||||1^2
90|1|Корона|1202|14|0|||||||1^2
91|1|Овал|1203|14|0|||||||1^2
92|1|Сердце|1204|14|0|||||||1^2
93|1|Цилиндр|1205|14|0|||||||1^2
15|0|Украшения для торта|1300|2|0|||||||1^2
16|0|Оборудование|1400|2|0|||||||1^2
17|1|Факелы|1500|2|0|Цветной дым оптом всегда производит яркое впечатление. Факелы оптом часто используют на праздниках и фотосессиях, во время организованных шествий. Фаер купить оптом можно разных цветов. Различается время горения файера оптом. В нашем каталоге можно купить оптом фальшфейер, дымовые шашки оптом, факелы, цветной дым купить оптом. Оптовая продажа фальшфейеров осуществляется по ценам производителя, широкий ассортимент уже в наличии на складе.|Факелы, дымовые шашки, файера, цветной дым купить оптом.|факелы оптом  дымовые шашки оптом фаер купить оптом файера оптом купить оптом фальшфейер оптовая продажа фальшфейеров цветной дым купить оптом цветной дым оптом|Купить цветной дым оптом. Большой выбор факелов, файеров и дымовых шашек. Купить оптом фаера с доставкой. Оптовая продажа фальшфейеров.||http://cx14726.tmweb.ru/images/фдк.jpg|1^2
94|1|Дымовые|1501|17|0|||||||1^2
95|1|Огневые|1502|17|0|||||||1^2
18|0|Пистоны|1600|2|0|||||||1^2
19|0|Дневн.фейерверки|1700|2|0||||||http://cx14726.tmweb.ru/images/рс352.jpg|1^2
20|1|Подарочные наборы|1800|2|0||||||http://cx14726.tmweb.ru/images/рс352.jpg|1^2
21|1|Прочее|1900|2|0||||||http://cx14726.tmweb.ru/images/2408.jpg|1^2
