Имя;Код;Категория;Базовая цена;Количество;Процент скидки
"Световое фейерверк-шоу Волшебный фонарь""""";2170;Прочее;1232.390000;0;10
"Световая бенгальская свеча Звёздная пыль""""";2402;Прочее;178.920000;0;10
