Название заказа|ID товара|ID аттр|Цена|Количество|Скидка|Налог
Приход из FoxPro_285|387||187.20|120|0|0
Приход из FoxPro_285|391||324.35|24|0|0
Приход из FoxPro_285|399||598.00|36|0|0
Приход из FoxPro_285|414||642.85|12|0|0
Приход из FoxPro_285|529||247.00|50|0|0
Приход из FoxPro_285|530||112.45|160|0|0
Приход из FoxPro_285|531||80.60|200|0|0
Приход из FoxPro_285|532||136.50|100|0|0
Приход из FoxPro_285|534||280.80|300|0|0
Приход из FoxPro_285|536||154.70|150|0|0
Приход из FoxPro_285|538||452.40|64|0|0
Приход из FoxPro_285|569||214.50|120|0|0
Приход из FoxPro_285|582||518.70|32|0|0
Приход из FoxPro_285|583||189.15|36|0|0
Приход из FoxPro_285|584||83.20|240|0|0
Приход из FoxPro_285|598||540.80|18|0|0
Приход из FoxPro_285|613||133.25|144|0|0
Приход из FoxPro_285|649||257.40|48|0|0
Приход из FoxPro_285|650||591.50|20|0|0
Приход из FoxPro_285|654||163.80|180|0|0
Приход из FoxPro_285|664||327.60|20|0|0
Приход из FoxPro_285|667||431.60|20|0|0
Приход из FoxPro_285|671||299.00|48|0|0
Приход из FoxPro_285|672||258.70|120|0|0
Приход из FoxPro_285|683||518.70|48|0|0
Приход из FoxPro_285|684||518.70|72|0|0
Приход из FoxPro_285|685||518.70|48|0|0
Приход из FoxPro_285|704||519.35|40|0|0
Приход из FoxPro_285|707||421.85|15|0|0
Приход из FoxPro_285|720||233.35|36|0|0
Приход из FoxPro_285|724||202.15|120|0|0
Приход из FoxPro_285|725||218.40|96|0|0
Приход из FoxPro_285|729||344.50|72|0|0
Приход из FoxPro_285|730||404.30|96|0|0
Приход из FoxPro_285|732||389.35|96|0|0
Приход из FoxPro_285|733||347.10|96|0|0
Приход из FoxPro_285|734||161.85|100|0|0
Приход из FoxPro_285|737||194.35|72|0|0
Приход из FoxPro_285|740||211.25|96|0|0
Приход из FoxPro_285|741||302.25|48|0|0
Приход из FoxPro_285|744||253.50|72|0|0
Приход из FoxPro_285|751||488.80|36|0|0
Приход из FoxPro_285|834||669.50|36|0|0
Приход из FoxPro_285|838||1039.35|8|0|0
Приход из FoxPro_285|844||790.40|16|0|0
Приход из FoxPro_285|1855||669.50|36|0|0
