id_category;name;description;position;active;
"11";"Хлопушки";"Хлопушки оптом на любом празднике сразу привлекают внимание благодаря громкому звуку, яркой россыпи цветных конфетти, серпантина, а иногда и сюрпризом внутри. Хлопушка купить оптом – отличная идея для любого торжества. Многообразие внешнего исполнения и внутренней начинки позволяет сделать эффект от хлопушек более ярким. Хлопушки оптом от производителя изготавливаются из высококачественных материалов, что исключает риск при их правильном использовании.";"900";"1";
"100";"С серпантином";"";"901";"1";
"101";"С конфетти";"";"902";"1";
"102";"С сюрпризом";"";"903";"1";
"103";"Макси";"";"904";"1";
"104";"Супер";"";"905";"1";
"105";"Наборы";"";"906";"1";
"12";"Пневмохлопушки";"Пневмохлопушки оптом часто служат для развлечения гостей и создания необычного впечатления о празднике. Особенностью пневмохлопушек является то, что они приводятся в действие не воспламенением пиротехнического состава, а под действием сжатого газа. Поэтому пневмохлопушки оптом – это приятное и безопасное украшение праздника, доступное как взрослым, так и детям под присмотром.";"1000";"1";
"96";"20 см";"";"1001";"1";
"97";"30 см";"";"1002";"1";
"98";"60 см";"";"1003";"1";
"99";"100 см";"";"1004";"1";
"13";"Светящиеся палочки";"";"1100";"0";
"14";"Небесные фонарики";"Невесомые и яркие небесные фонарики плывут в вышине, как светящиеся облачка. Радостно наблюдать, как они поднимаются над землей, унося ввысь чье-то прошептанное желание! Для кого-то запуск небесных фонариков уже стал традицией, а для кого-то это исключительно элемент праздничного торжества. В любом случае, небесные фонарики оптом приобрели большую популярность в нашей стране. Оптом купить небесный фонарик можно разнообразной формы и цвета.";"1200";"1";
"89";"Бриллиант";"";"1201";"1";
"90";"Корона";"";"1202";"1";
"91";"Овал";"";"1203";"1";
"92";"Сердце";"";"1204";"1";
"93";"Цилиндр";"";"1205";"1";
"15";"Украшения для торта";"";"1300";"0";
"16";"Оборудование";"";"1400";"0";
"17";"Факелы";"Цветной дым оптом всегда производит яркое впечатление. Факелы оптом часто используют на праздниках и фотосессиях, во время организованных шествий. Фаер купить оптом можно разных цветов. Различается время горения файера оптом. В нашем каталоге можно купить оптом фальшфейер, дымовые шашки оптом, факелы, цветной дым купить оптом. Оптовая продажа фальшфейеров осуществляется по ценам производителя, широкий ассортимент уже в наличии на складе.";"1500";"1";
"94";"Дымовые";"";"1501";"1";
"95";"Огневые";"";"1502";"1";
"18";"Пистоны";"";"1600";"0";
"19";"Дневн.фейерверки";"";"1700";"0";
"20";"Подарочные наборы";"";"1800";"1";
"21";"Прочее";"";"1900";"1";
"126";"1000";"";"1901";"0";
"127";"00";"";"1902";"0";
"128";"1000";"";"1903";"0";
"129";"00";"";"1904";"0";
