id_product;name;reference;price;active;id_manufacturer;shopname;id_shop_default;id_image;name_category;price_final;is_virtual;nb_downloadable;sav_quantity;badge_danger;
"168";"84";"TXB284";"931.700000";"1";"Триплекс";"ogonek";"1";"1230";"Батареи салютов";"0";"0";"";"82";"0";
"169";"386";"TXB293";"196.260000";"1";"Триплекс";"ogonek";"1";"1231";"Батареи салютов";"0";"0";"";"385";"0";
"172";"0";"TXB315";"1094.800000";"1";"Триплекс";"ogonek";"1";"1235";"Батареи салютов";"0";"0";"";"0";"1";
"173";"0";"TXB316";"1094.800000";"1";"Триплекс";"ogonek";"1";"1238";"Батареи салютов";"0";"0";"";"0";"1";
"175";"48";"TXB389";"1179.740000";"1";"Триплекс";"ogonek";"1";"1240";"Батареи салютов";"0";"0";"";"50";"0";
"176";"1";"TXB394";"1443.990000";"1";"Триплекс";"ogonek";"1";"1242";"Батареи салютов";"0";"0";"";"2";"0";
"177";"1";"TXB422";"230.290000";"1";"Триплекс";"ogonek";"1";"1243";"Батареи салютов";"0";"0";"";"1";"0";
"179";"RED PEONY, 17сек (0.80" x 9)";"TXB462";"254.830000";"1";"Триплекс";"ogonek";"16";"2818";"Батареи салютов";"0";"0";"";"38";"0";
"181";"38";"TXB497";"747.470000";"1";"Триплекс";"ogonek";"1";"1246";"Батареи салютов";"0";"0";"";"37";"0";
"182";"0";"TXB498";"376.580000";"1";"Триплекс";"ogonek";"1";"1248";"Батареи салютов";"0";"0";"";"0";"1";
"183";"0";"TXB561";"1177.860000";"1";"Триплекс";"ogonek";"1";"1250";"Батареи салютов";"0";"0";"";"0";"1";
"186";"0";"TXB565";"1208.980000";"1";"Триплекс";"ogonek";"1";"89";"Батареи салютов";"0";"0";"";"0";"1";
"187";"0";"TXB592";"1496.840000";"1";"Триплекс";"ogonek";"1";"1252";"Батареи салютов";"0";"0";"";"0";"1";
"188";"0";"TXB603";"376.580000";"1";"Триплекс";"ogonek";"1";"1253";"Батареи салютов";"0";"0";"";"0";"1";
"190";"0";"TXB644";"773.900000";"1";"Триплекс";"ogonek";"1";"1254";"Батареи салютов";"0";"0";"";"0";"1";
"192";"19";"TXB646";"773.900000";"1";"Триплекс";"ogonek";"1";"1255";"Батареи салютов";"0";"0";"";"24";"0";
"196";"0";"TXB662";"89.660000";"1";"Триплекс";"ogonek";"1";"1256";"Батареи салютов";"0";"0";"";"0";"1";
"197";"0";"TXB664";"1618.590000";"1";"Триплекс";"ogonek";"1";"1257";"Батареи салютов";"0";"0";"";"0";"1";
"199";"-1";"TXB667";"1604.440000";"1";"Триплекс";"ogonek";"1";"1259";"Батареи салютов";"0";"0";"";"1";"0";
"205";"10";"TXB756";"1510.060000";"1";"Триплекс";"ogonek";"1";"1261";"Батареи салютов";"0";"0";"";"0";"1";
"208";"0";"TXB801";"1321.300000";"1";"Триплекс";"ogonek";"1";"1262";"Батареи салютов";"0";"0";"";"0";"1";
"211";"46";"TXB821";"254.830000";"1";"Триплекс";"ogonek";"1";"1263";"Батареи салютов";"0";"0";"";"47";"0";
"212";"13";"TXB826";"641.770000";"1";"Триплекс";"ogonek";"1";"1264";"Батареи салютов";"0";"0";"";"13";"0";
"213";"56";"TXB827";"641.770000";"1";"Триплекс";"ogonek";"1";"1265";"Батареи салютов";"0";"0";"";"67";"0";
"214";"0";"TXB828";"1170.300000";"1";"Триплекс";"ogonek";"1";"1266";"Батареи салютов";"0";"0";"";"0";"1";
"215";"38";"TXB849";"1486.460000";"1";"Триплекс";"ogonek";"1";"1268";"Батареи салютов";"0";"0";"";"38";"0";
"219";"2";"TXB906";"1746.010000";"1";"Триплекс";"ogonek";"1";"1269";"Батареи салютов";"0";"0";"";"2";"0";
"220";"0";"TXB908";"3020.110000";"1";"Триплекс";"ogonek";"1";"1271";"Батареи салютов";"0";"0";"";"0";"1";
"223";"0";"TXC419";"233.110000";"1";"Триплекс";"ogonek";"1";"109";"Римские свечи";"0";"0";"";"0";"1";
"224";"121";"TXC494";"132.130000";"1";"Триплекс";"ogonek";"1";"1272";"Римские свечи";"0";"0";"";"120";"0";
"225";"200";"TXC495";"165.170000";"1";"Триплекс";"ogonek";"1";"1273";"Римские свечи";"0";"0";"";"194";"0";
"227";"1";"TXC842";"339.770000";"1";"Триплекс";"ogonek";"1";"1275";"Римские свечи";"0";"0";"";"3";"0";
"229";"0";"TXC861";"235.950000";"1";"Триплекс";"ogonek";"1";"114";"Римские свечи";"0";"0";"";"0";"1";
"232";"92";"TXD484";"475.530000";"1";"Триплекс";"ogonek";"1";"1276";"Петарды";"0";"0";"";"91";"0";
"238";"431";"TXF359";"146.290000";"1";"Триплекс";"ogonek";"1";"1278";"Фонтаны";"0";"0";"";"434";"0";
"240";"0";"TXF426";"13.210000";"1";"Триплекс";"ogonek";"1";"1279";"Бенгальские свечи";"0";"0";"";"0";"1";
"243";"50";"TXF637";"162.320000";"1";"Триплекс";"ogonek";"1";"1280";"Фонтаны";"0";"0";"";"52";"0";
"246";"0";"TXF748-А";"31.160000";"1";"Триплекс";"ogonek";"1";"1281";"Бенгальские свечи";"0";"0";"";"700";"0";
"249";"35";"TXF837";"500.200000";"1";"Триплекс";"ogonek";"1";"1282";"Фонтаны";"0";"0";"";"35";"0";
"250";"16";"TXF838";"1944.200000";"1";"Триплекс";"ogonek";"1";"1283";"Фонтаны";"0";"0";"";"17";"0";
"251";"0";"TXM434";"805.060000";"1";"Триплекс";"ogonek";"1";"2808";"Фестивальные шары";"0";"0";"";"0";"1";
"253";"73";"TXP001";"302.020000";"1";"Триплекс";"ogonek";"1";"1285";"Петарды";"0";"0";"";"76";"0";
"254";"41";"TXP066";"377.520000";"1";"Триплекс";"ogonek";"1";"1287";"Петарды";"0";"0";"";"37";"0";
"257";"494";"TXP082";"990.990000";"1";"Триплекс";"ogonek";"1";"2830";"Петарды";"0";"0";"";"503";"0";
"258";"2";"TXP226";"481.340000";"1";"Триплекс";"ogonek";"1";"1290";"Петарды";"0";"0";"";"4";"0";
"260";"0";"TXP384";"169.880000";"1";"Триплекс";"ogonek";"1";"1291";"Петарды";"0";"0";"";"0";"1";
"262";"160";"TXP485";"217.070000";"1";"Триплекс";"ogonek";"1";"1294";"Петарды";"0";"0";"";"162";"0";
"265";"1";"TXP786";"441.700000";"1";"Триплекс";"ogonek";"1";"1295";"Петарды";"0";"0";"";"5";"0";
"269";"0";"TXR141";"1038.170000";"1";"Триплекс";"ogonek";"1";"1297";"Ракеты";"0";"0";"";"0";"1";
"270";"5";"TXR371";"254.830000";"1";"Триплекс";"ogonek";"1";"1299";"Ракеты";"0";"0";"";"7";"0";
"272";"5";"TXR606";"471.890000";"1";"Триплекс";"ogonek";"1";"1300";"Ракеты";"0";"0";"";"9";"0";
"287";"0";"YHW009";"2453.840000";"1";"Триплекс";"ogonek";"1";"1301";"Батареи салютов";"0";"0";"";"0";"1";
"329";"0";"А7515";"5600.000000";"1";"Галактика";"ogonek";"1";"142";"Батареи салютов";"0";"0";"";"12";"0";
"332";"0";"А7528";"7400.000000";"1";"Галактика";"ogonek";"1";"1303";"Батареи салютов";"0";"0";"";"0";"1";
"334";"2";"А7600";"11600.000000";"1";"Галактика";"ogonek";"1";"1304";"Батареи салютов";"0";"0";"";"4";"0";
"335";"0";"А7605";"10600.000000";"1";"Галактика";"ogonek";"1";"1305";"Батареи салютов";"0";"0";"";"0";"1";
"336";"1";"А7606";"10600.000000";"1";"Галактика";"ogonek";"1";"1306";"Батареи салютов";"0";"0";"";"1";"0";
"337";"0";"А7607";"10600.000000";"1";"Галактика";"ogonek";"1";"147";"Батареи салютов";"0";"0";"";"0";"1";
"339";"0";"А7609";"10600.000000";"1";"Галактика";"ogonek";"1";"1307";"Батареи салютов";"0";"0";"";"0";"1";
"340";"1";"А7610";"10600.000000";"1";"Галактика";"ogonek";"1";"1308";"Батареи салютов";"0";"0";"";"1";"0";
"341";"1";"А7611";"10600.000000";"1";"Галактика";"ogonek";"1";"1309";"Батареи салютов";"0";"0";"";"1";"0";
"342";"1";"А7612";"10600.000000";"1";"Галактика";"ogonek";"1";"1310";"Батареи салютов";"0";"0";"";"1";"0";
"343";"0";"А7613";"10600.000000";"1";"Галактика";"ogonek";"1";"1311";"Батареи салютов";"0";"0";"";"0";"1";
"344";"4";"А7616";"11600.000000";"1";"Галактика";"ogonek";"1";"1312";"Батареи салютов";"0";"0";"";"4";"0";
"345";"1";"А7617";"11600.000000";"1";"Галактика";"ogonek";"1";"1313";"Батареи салютов";"0";"0";"";"1";"0";
"346";"2";"А7618";"11600.000000";"1";"Галактика";"ogonek";"1";"1314";"Батареи салютов";"0";"0";"";"2";"0";
"347";"3";"А7619";"17600.000000";"1";"Галактика";"ogonek";"1";"1315";"Батареи салютов";"0";"0";"";"3";"0";
"351";"3";"А7623";"25300.000000";"1";"Галактика";"ogonek";"1";"157";"Батареи салютов";"0";"0";"";"3";"0";
"352";"1";"А7642";"16000.000000";"1";"Галактика";"ogonek";"1";"1316";"Батареи салютов";"0";"0";"";"1";"0";
"354";"3";"А7644";"17600.000000";"1";"Галактика";"ogonek";"1";"1317";"Батареи салютов";"0";"0";"";"3";"0";
"356";"1";"А7667";"23000.000000";"1";"Галактика";"ogonek";"1";"1318";"Батареи салютов";"0";"0";"";"1";"0";
"357";"5";"А7668";"28600.000000";"1";"Галактика";"ogonek";"1";"1319";"Батареи салютов";"0";"0";"";"7";"0";
"374";"1";"БСП0530012";"32700.000000";"1";"Пирофф";"ogonek";"1";"1320";"Батареи салютов";"0";"0";"";"1";"0";
"387";"1";"Е-С215";"388.000000";"1";"ФейерЛэнд";"ogonek";"1";"2958";"Батареи салютов";"0";"0";"";"0";"1";
"391";"0";"Е-С226";"499.000000";"1";"ФейерЛэнд";"ogonek";"1";"1327";"Батареи салютов";"0";"0";"";"0";"1";
"399";"7";"Е-С268";"920.000000";"1";"ФейерЛэнд";"ogonek";"1";"2843";"Батареи салютов";"0";"0";"";"7";"0";
