id_product;id_image;id_shop;cover;
"508";"1374";"16";"1";
"508";"1375";"16";"";
"508";"1376";"16";"";
"508";"1377";"16";"";
"508";"1378";"16";"";
"508";"1379";"16";"";
"511";"1380";"16";"1";
"511";"1381";"16";"";
"511";"1382";"16";"";
"511";"1383";"16";"";
"511";"1384";"16";"";
"512";"1385";"16";"1";
"512";"1386";"16";"";
"512";"1387";"16";"";
"512";"1388";"16";"";
"512";"1389";"16";"";
"512";"1390";"16";"";
"516";"1391";"16";"1";
"526";"1392";"16";"1";
"527";"1393";"16";"1";
"528";"1394";"16";"1";
"529";"1395";"16";"1";
"530";"1396";"16";"1";
"531";"1397";"16";"1";
"532";"1398";"16";"1";
"533";"1399";"16";"1";
"534";"1400";"16";"1";
"535";"1401";"16";"1";
"538";"1402";"16";"1";
"542";"1403";"16";"1";
"545";"1404";"16";"1";
"546";"1405";"16";"1";
"547";"1406";"16";"1";
"548";"1407";"16";"1";
"555";"1408";"16";"1";
"555";"1409";"16";"";
"559";"1410";"16";"1";
"559";"1411";"16";"";
"559";"1412";"16";"";
"559";"1413";"16";"";
"569";"1414";"16";"1";
"569";"1415";"16";"";
"569";"1416";"16";"";
"576";"1417";"16";"1";
"576";"1418";"16";"";
"581";"1419";"16";"1";
"581";"1420";"16";"";
"582";"1422";"16";"";
"583";"1423";"16";"1";
"583";"1424";"16";"";
"583";"1425";"16";"";
"584";"1426";"16";"1";
"584";"1427";"16";"";
"584";"1428";"16";"";
"585";"1429";"16";"1";
"587";"1430";"16";"1";
"587";"1431";"16";"";
"587";"1432";"16";"";
"588";"1433";"16";"1";
"588";"1434";"16";"";
"588";"1435";"16";"";
"596";"1436";"16";"1";
"596";"1437";"16";"";
"596";"1438";"16";"";
"596";"1439";"16";"";
"596";"1440";"16";"";
"596";"1441";"16";"";
"596";"1442";"16";"";
"598";"1443";"16";"1";
"598";"1444";"16";"";
"598";"1445";"16";"";
"603";"1446";"16";"1";
"603";"1447";"16";"";
"603";"1448";"16";"";
"606";"1449";"16";"1";
"606";"1450";"16";"";
"606";"1451";"16";"";
"606";"1452";"16";"";
"607";"1453";"16";"1";
"607";"1454";"16";"";
"607";"1455";"16";"";
"607";"1456";"16";"";
"607";"1457";"16";"";
"607";"1458";"16";"";
"610";"1459";"16";"1";
"610";"1460";"16";"";
"610";"1461";"16";"";
"610";"1462";"16";"";
"610";"1463";"16";"";
"613";"1464";"16";"1";
"613";"1465";"16";"";
"613";"1466";"16";"";
"613";"1467";"16";"";
"613";"1468";"16";"";
"614";"1469";"16";"1";
"614";"1470";"16";"";
"614";"1471";"16";"";
"614";"1472";"16";"";
"614";"1473";"16";"";
"615";"1474";"16";"1";
"615";"1475";"16";"";
"615";"1476";"16";"";
"615";"1477";"16";"";
"615";"1478";"16";"";
"615";"1479";"16";"";
"621";"1480";"16";"1";
"621";"1481";"16";"";
"621";"1482";"16";"";
"621";"1483";"16";"";
"621";"1484";"16";"";
"643";"1485";"16";"1";
"643";"1486";"16";"";
"649";"1487";"16";"1";
"664";"1489";"16";"1";
"664";"1490";"16";"";
"664";"1491";"16";"";
"664";"1492";"16";"";
"665";"1493";"16";"1";
"665";"1494";"16";"";
"665";"1495";"16";"";
"665";"1496";"16";"";
"667";"1497";"16";"1";
"670";"1498";"16";"1";
"671";"1499";"16";"1";
"671";"1500";"16";"";
"671";"1501";"16";"";
"671";"1502";"16";"";
"684";"1503";"16";"1";
"685";"1504";"16";"1";
"696";"1506";"16";"1";
"701";"1507";"16";"1";
"701";"1508";"16";"";
"701";"1509";"16";"";
"701";"1510";"16";"";
"701";"1511";"16";"";
"707";"1512";"16";"1";
"707";"1513";"16";"";
"707";"1514";"16";"";
"707";"1515";"16";"";
"709";"1516";"16";"1";
"709";"1517";"16";"";
"709";"1518";"16";"";
"709";"1519";"16";"";
"714";"1520";"16";"1";
"714";"1521";"16";"";
"714";"1522";"16";"";
"714";"1523";"16";"";
"714";"1524";"16";"";
"714";"1525";"16";"";
"714";"1526";"16";"";
"714";"1527";"16";"";
"714";"1528";"16";"";
"714";"1529";"16";"";
"715";"1530";"16";"1";
"715";"1531";"16";"";
"715";"1532";"16";"";
"715";"1533";"16";"";
"715";"1534";"16";"";
"717";"1535";"16";"1";
"717";"1536";"16";"";
"717";"1537";"16";"";
"717";"1538";"16";"";
"717";"1539";"16";"";
"717";"1540";"16";"";
"719";"1541";"16";"1";
"719";"1542";"16";"";
"719";"1543";"16";"";
"719";"1544";"16";"";
"719";"1545";"16";"";
"719";"1546";"16";"";
"719";"1547";"16";"";
"720";"1548";"16";"1";
"723";"1549";"16";"1";
"723";"1550";"16";"";
"725";"1551";"16";"1";
"725";"1552";"16";"";
"725";"1553";"16";"";
"725";"1554";"16";"";
"729";"1555";"16";"1";
"729";"1556";"16";"";
"729";"1557";"16";"";
"729";"1558";"16";"";
"729";"1559";"16";"";
"730";"1560";"16";"1";
"730";"1561";"16";"";
"730";"1562";"16";"";
"730";"1563";"16";"";
"730";"1564";"16";"";
"734";"1565";"16";"1";
"737";"1566";"16";"1";
"737";"1567";"16";"";
"737";"1568";"16";"";
"737";"1569";"16";"";
"739";"1570";"16";"1";
"739";"1571";"16";"";
"739";"1572";"16";"";
"739";"1573";"16";"";
"739";"1574";"16";"";
"741";"1575";"16";"1";
"742";"1576";"16";"1";
"743";"1577";"16";"1";
"743";"1578";"16";"";
"743";"1579";"16";"";
"743";"1580";"16";"";
"743";"1581";"16";"";
"746";"1582";"16";"1";
"746";"1583";"16";"";
"746";"1584";"16";"";
"746";"1585";"16";"";
"746";"1586";"16";"";
"746";"1587";"16";"";
"747";"1588";"16";"1";
"751";"1589";"16";"1";
"751";"1590";"16";"";
"751";"1591";"16";"";
"751";"1592";"16";"";
"752";"1593";"16";"1";
"753";"1594";"16";"1";
"753";"1595";"16";"";
"753";"1596";"16";"";
"753";"1597";"16";"";
"753";"1598";"16";"";
"753";"1599";"16";"";
"754";"1600";"16";"1";
"754";"1601";"16";"";
"754";"1602";"16";"";
"754";"1603";"16";"";
"754";"1604";"16";"";
"759";"1605";"16";"1";
"759";"1606";"16";"";
"759";"1607";"16";"";
"759";"1608";"16";"";
"759";"1609";"16";"";
"759";"1610";"16";"";
"761";"1611";"16";"1";
"761";"1612";"16";"";
"761";"1613";"16";"";
"761";"1614";"16";"";
"761";"1615";"16";"";
"761";"1616";"16";"";
"761";"1617";"16";"";
"761";"1618";"16";"";
"761";"1619";"16";"";
"761";"1620";"16";"";
"761";"1621";"16";"";
"761";"1622";"16";"";
"762";"1623";"16";"1";
"762";"1624";"16";"";
"762";"1625";"16";"";
"762";"1626";"16";"";
"762";"1627";"16";"";
"762";"1628";"16";"";
"763";"1629";"16";"1";
"763";"1630";"16";"";
"763";"1631";"16";"";
"763";"1632";"16";"";
"763";"1633";"16";"";
"763";"1634";"16";"";
"763";"1635";"16";"";
"763";"1636";"16";"";
"764";"1637";"16";"1";
"764";"1638";"16";"";
"764";"1639";"16";"";
"764";"1640";"16";"";
"764";"1641";"16";"";
"764";"1642";"16";"";
"764";"1643";"16";"";
"764";"1644";"16";"";
"764";"1645";"16";"";
"766";"1646";"16";"1";
"768";"1647";"16";"1";
"768";"1648";"16";"";
"768";"1649";"16";"";
"768";"1650";"16";"";
"768";"1651";"16";"";
"768";"1652";"16";"";
"768";"1653";"16";"";
"768";"1654";"16";"";
"768";"1655";"16";"";
"771";"1656";"16";"1";
"771";"1657";"16";"";
"771";"1658";"16";"";
"771";"1659";"16";"";
"771";"1660";"16";"";
"773";"1661";"16";"1";
"773";"1662";"16";"";
"773";"1663";"16";"";
"773";"1664";"16";"";
"776";"1665";"16";"1";
"776";"1666";"16";"";
"776";"1667";"16";"";
"776";"1668";"16";"";
"776";"1669";"16";"";
"782";"1670";"16";"1";
"782";"1671";"16";"";
"782";"1672";"16";"";
"782";"1673";"16";"";
"782";"1674";"16";"";
"782";"1675";"16";"";
"783";"1676";"16";"1";
"783";"1677";"16";"";
"783";"1678";"16";"";
"783";"1679";"16";"";
"783";"1680";"16";"";
"783";"1681";"16";"";
"784";"1682";"16";"1";
"784";"1683";"16";"";
"784";"1684";"16";"";
"784";"1685";"16";"";
"784";"1686";"16";"";
"785";"1687";"16";"1";
"786";"1688";"16";"1";
"786";"1689";"16";"";
"786";"1690";"16";"";
"786";"1691";"16";"";
"791";"1692";"16";"1";
"792";"1693";"16";"1";
"792";"1694";"16";"";
"792";"1695";"16";"";
"792";"1696";"16";"";
"792";"1697";"16";"";
"792";"1698";"16";"";
"794";"1699";"16";"1";
"794";"1700";"16";"";
"794";"1701";"16";"";
"794";"1702";"16";"";
"794";"1703";"16";"";
"794";"1704";"16";"";
"796";"1705";"16";"1";
"796";"1706";"16";"";
"796";"1707";"16";"";
"796";"1708";"16";"";
"796";"1709";"16";"";
"798";"1710";"16";"1";
"798";"1711";"16";"";
"798";"1712";"16";"";
"798";"1713";"16";"";
"798";"1714";"16";"";
"798";"1715";"16";"";
"800";"1716";"16";"1";
"800";"1717";"16";"";
"800";"1718";"16";"";
"800";"1719";"16";"";
"800";"1720";"16";"";
"800";"1721";"16";"";
"803";"1722";"16";"1";
"803";"1723";"16";"";
"803";"1724";"16";"";
"803";"1725";"16";"";
"803";"1726";"16";"";
"803";"1727";"16";"";
"803";"1728";"16";"";
"806";"1729";"16";"1";
"807";"1730";"16";"1";
"807";"1731";"16";"";
"807";"1732";"16";"";
"807";"1733";"16";"";
"807";"1734";"16";"";
"807";"1735";"16";"";
"808";"1736";"16";"1";
"808";"1737";"16";"";
"808";"1738";"16";"";
"808";"1739";"16";"";
"808";"1740";"16";"";
"808";"1741";"16";"";
"808";"1742";"16";"";
"810";"1743";"16";"1";
"810";"1744";"16";"";
"810";"1745";"16";"";
"810";"1746";"16";"";
"810";"1747";"16";"";
"810";"1748";"16";"";
"810";"1749";"16";"";
"810";"1750";"16";"";
"828";"1751";"16";"1";
"828";"1752";"16";"";
"828";"1753";"16";"";
"828";"1754";"16";"";
"828";"1755";"16";"";
"828";"1756";"16";"";
"828";"1757";"16";"";
"828";"1758";"16";"";
"828";"1759";"16";"";
"834";"1760";"16";"1";
"834";"1761";"16";"";
"834";"1762";"16";"";
"834";"1763";"16";"";
"834";"1764";"16";"";
"837";"1765";"16";"1";
"837";"1766";"16";"";
"837";"1767";"16";"";
"837";"1768";"16";"";
"837";"1769";"16";"";
"837";"1770";"16";"";
"838";"1771";"16";"1";
"838";"1772";"16";"";
"838";"1773";"16";"";
"838";"1774";"16";"";
"838";"1775";"16";"";
"838";"1776";"16";"";
"844";"1777";"16";"1";
"844";"1778";"16";"";
"844";"1779";"16";"";
"844";"1780";"16";"";
"844";"1781";"16";"";
"845";"1782";"16";"1";
"845";"1783";"16";"";
"845";"1784";"16";"";
"845";"1785";"16";"";
"845";"1786";"16";"";
"845";"1787";"16";"";
"846";"1788";"16";"1";
"846";"1789";"16";"";
"846";"1790";"16";"";
"846";"1791";"16";"";
"846";"1792";"16";"";
"846";"1793";"16";"";
"851";"1794";"16";"1";
"851";"1795";"16";"";
"851";"1796";"16";"";
